Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
1,,16-05-2018,21-05-2018,03-06-2018,,,,,,
2,04-06-2018,16-05-2018,21-05-2018,,,,,,,
3,,16-05-2018,21-05-2018,05-06-2018,,,,,,
4,22-06-2018,16-05-2018,21-05-2018,02-06-2018,,,,,,
5,17-06-2018,16-05-2018,21-05-2018,30-05-2018,,,,,,
6,,16-05-2018,21-05-2018,02-06-2018,,,,,,
7,,16-05-2018,21-05-2018,01-06-2018,,,,,,
8,,16-05-2018,21-05-2018,03-06-2018,,,,,,
9,,16-05-2018,21-05-2018,31-05-2018,15-06-2018,,,,,
10,,16-05-2018,21-05-2018,31-05-2018,,,,,,
11,,16-05-2018,21-05-2018,06-06-2018,,,,,,
12,,16-05-2018,21-05-2018,30-05-2018,16-06-2018,,,,,
13,,16-05-2018,21-05-2018,03-06-2018,22-06-2018,,,,,
14,,16-05-2018,21-05-2018,03-06-2018,03-07-2018,,,,,
15,22-07-2018,16-05-2018,21-05-2018,05-06-2018,,,,,,
16,17-06-2018,16-05-2018,21-05-2018,12-06-2018,,,,,,
17,,16-05-2018,21-05-2018,05-06-2018,,,,,,
18,01-06-2018,16-05-2018,21-05-2018,,,,,,,
19,,16-05-2018,21-05-2018,05-06-2018,08-06-2018,03-07-2018,,,,
20,22-07-2018,16-05-2018,21-05-2018,08-06-2018,26-06-2018,,,,,
21,,16-05-2018,21-05-2018,31-05-2018,16-06-2018,,,,,
22,02-06-2018,16-05-2018,21-05-2018,,,,,,,
23,23-06-2018,16-05-2018,21-05-2018,31-05-2018,,,,,,
24,,16-05-2018,21-05-2018,02-06-2018,05-06-2018,,,,,
25,12-06-2018,16-05-2018,21-05-2018,02-06-2018,,,,,,
26,,16-05-2018,21-05-2018,05-06-2018,21-06-2018,,,,,
27,,16-05-2018,21-05-2018,02-06-2018,05-06-2018,17-06-2018,,,,
28,,16-05-2018,21-05-2018,11-06-2018,24-06-2018,,,,,
29,,16-05-2018,21-05-2018,04-06-2018,05-06-2018,,,,,
30,,16-05-2018,21-05-2018,01-06-2018,,,,,,
31,,16-05-2018,21-05-2018,04-06-2018,,,,,,
32,,16-05-2018,21-05-2018,03-06-2018,22-06-2018,,,,,
33,,16-05-2018,21-05-2018,03-06-2018,18-06-2018,,,,,
34,29-05-2018,16-05-2018,21-05-2018,,,,,,,
35,11-06-2018,16-05-2018,21-05-2018,02-06-2018,,,,,,
36,06-06-2018,16-05-2018,21-05-2018,01-06-2018,,,,,,
37,09-06-2018,16-05-2018,21-05-2018,,,,,,,
38,,16-05-2018,21-05-2018,31-05-2018,06-06-2018,14-06-2018,,22-06-2018,03-07-2018,M
39,,16-05-2018,21-05-2018,03-06-2018,,,,,,
40,,16-05-2018,21-05-2018,01-06-2018,19-06-2018,,,,,
41,,16-05-2018,21-05-2018,02-06-2018,,,,,,
42,,16-05-2018,21-05-2018,03-06-2018,22-06-2018,,,,,
43,,16-05-2018,21-05-2018,09-06-2018,,,,,,
44,31-05-2018,16-05-2018,21-05-2018,,,,,,,
45,07-06-2018,16-05-2018,21-05-2018,06-06-2018,,,,,,
46,,16-05-2018,21-05-2018,03-06-2018,21-06-2018,,,,,
47,23-05-2018,16-05-2018,21-05-2018,,,,,,,
48,,16-05-2018,21-05-2018,02-06-2018,21-06-2018,,,,,
49,,16-05-2018,21-05-2018,31-05-2018,,,,,,
50,,16-05-2018,21-05-2018,10-06-2018,,,,,,
51,,16-05-2018,21-05-2018,05-06-2018,,,,,,
52,22-06-2018,16-05-2018,21-05-2018,31-05-2018,,,,,,
53,03-06-2018,16-05-2018,21-05-2018,,,,,,,
54,,16-05-2018,21-05-2018,31-05-2018,06-06-2018,12-06-2018,,19-06-2018,03-07-2018,F
55,,16-05-2018,21-05-2018,05-06-2018,,,,,,
56,,16-05-2018,21-05-2018,07-06-2018,,,,,,
57,12-06-2018,16-05-2018,21-05-2018,30-05-2018,,,,,,
58,24-05-2018,16-05-2018,21-05-2018,,,,,,,
59,,16-05-2018,21-05-2018,31-05-2018,22-06-2018,,,,,
60,,16-05-2018,21-05-2018,04-06-2018,28-06-2018,,,,,
61,,16-05-2018,21-05-2018,04-06-2018,25-06-2018,,,,,
62,25-05-2018,16-05-2018,21-05-2018,,,,,,,
63,,16-05-2018,21-05-2018,04-06-2018,,,,,,
64,09-06-2018,16-05-2018,21-05-2018,30-05-2018,,,,,,
65,27-06-2018,16-05-2018,21-05-2018,31-05-2018,,,,,,
66,25-06-2018,16-05-2018,21-05-2018,03-06-2018,,,,,,
67,22-06-2018,16-05-2018,21-05-2018,31-05-2018,17-06-2018,,,,,
68,04-06-2018,16-05-2018,21-05-2018,,,,,,,
69,,16-05-2018,21-05-2018,03-06-2018,17-06-2018,,,,,
70,,16-05-2018,21-05-2018,01-06-2018,23-06-2018,,,,,
71,06-06-2018,16-05-2018,21-05-2018,03-06-2018,,,,,,
72,,16-05-2018,21-05-2018,03-06-2018,,,,,,
73,,16-05-2018,21-05-2018,06-06-2018,08-06-2018,,,,,
74,,16-05-2018,21-05-2018,31-05-2018,17-06-2018,,,,,
75,01-06-2018,16-05-2018,21-05-2018,,,,,,,
76,,16-05-2018,21-05-2018,05-06-2018,,,,,,
77,,16-05-2018,21-05-2018,04-06-2018,22-06-2018,,,,,
78,03-06-2018,16-05-2018,21-05-2018,,,,,,,
79,17-06-2018,16-05-2018,21-05-2018,03-06-2018,,,,,,
80,17-06-2018,16-05-2018,21-05-2018,06-06-2018,10-06-2018,,,,,
81,,16-05-2018,21-05-2018,06-06-2018,,,,,,
82,04-06-2018,16-05-2018,21-05-2018,03-06-2018,,,,,,
83,27-06-2018,16-05-2018,21-05-2018,01-06-2018,,,,,,
84,26-06-2018,16-05-2018,21-05-2018,02-06-2018,,,,,,
85,,16-05-2018,21-05-2018,04-06-2018,,,,,,
86,,16-05-2018,21-05-2018,01-06-2018,22-06-2018,,,,,
87,29-05-2018,16-05-2018,21-05-2018,,,,,,,
88,,16-05-2018,21-05-2018,05-06-2018,,,,,,
89,,16-05-2018,21-05-2018,02-06-2018,,,,,,
90,10-06-2018,16-05-2018,21-05-2018,06-06-2018,,,,,,
91,,16-05-2018,21-05-2018,07-06-2018,,,,,,
92,22-06-2018,16-05-2018,21-05-2018,31-05-2018,15-06-2018,,,,,
93,17-06-2018,16-05-2018,21-05-2018,03-06-2018,,,,,,
94,,16-05-2018,21-05-2018,01-06-2018,,,,,,
95,,16-05-2018,21-05-2018,31-05-2018,16-06-2018,,,,,
96,,16-05-2018,21-05-2018,02-06-2018,22-06-2018,,,,,
97,,16-05-2018,21-05-2018,04-06-2018,03-07-2018,,,,,
98,,16-05-2018,21-05-2018,03-06-2018,,,,,,
99,31-05-2018,16-05-2018,21-05-2018,,,,,,,
100,,16-05-2018,21-05-2018,02-06-2018,,,,,,
101,,16-05-2018,21-05-2018,31-05-2018,,,,,,
102,,16-05-2018,21-05-2018,06-06-2018,,,,,,
103,,16-05-2018,21-05-2018,07-06-2018,,,,,,
104,17-06-2018,16-05-2018,21-05-2018,06-06-2018,,,,,,
105,,16-05-2018,21-05-2018,05-06-2018,,,,,,
106,05-06-2018,16-05-2018,21-05-2018,,,,,,,
107,,16-05-2018,21-05-2018,05-06-2018,13-06-2018,03-07-2018,,,,
108,17-06-2018,16-05-2018,21-05-2018,04-06-2018,,,,,,
109,,16-05-2018,21-05-2018,31-05-2018,,,,,,
110,,16-05-2018,21-05-2018,02-06-2018,,,,,,
111,,16-05-2018,21-05-2018,03-06-2018,,,,,,
112,25-06-2018,16-05-2018,21-05-2018,06-06-2018,,,,,,
113,26-06-2018,16-05-2018,21-05-2018,01-06-2018,,,,,,
114,10-06-2018,16-05-2018,21-05-2018,,,,,,,
115,,16-05-2018,21-05-2018,07-06-2018,,,,,,
116,10-06-2018,16-05-2018,21-05-2018,03-06-2018,,,,,,
117,03-06-2018,16-05-2018,21-05-2018,,,,,,,
118,02-06-2018,16-05-2018,21-05-2018,,,,,,,
119,,16-05-2018,21-05-2018,04-06-2018,25-06-2018,,,,,
120,28-06-2018,16-05-2018,21-05-2018,,,,,,,
121,27-06-2018,16-05-2018,21-05-2018,04-06-2018,,,,,,
122,,16-05-2018,21-05-2018,30-05-2018,12-06-2018,,,,,
123,,16-05-2018,21-05-2018,06-06-2018,,,,,,
124,,16-05-2018,21-05-2018,03-06-2018,,,,,,
125,07-06-2018,16-05-2018,21-05-2018,03-06-2018,,,,,,
126,22-07-2018,16-05-2018,21-05-2018,03-06-2018,,,,,,
127,01-06-2018,16-05-2018,21-05-2018,,,,,,,
128,,16-05-2018,21-05-2018,03-06-2018,22-06-2018,,,,,
129,02-06-2018,16-05-2018,21-05-2018,01-06-2018,,,,,,
130,,16-05-2018,21-05-2018,06-06-2018,08-06-2018,,,,,
131,23-05-2018,16-05-2018,21-05-2018,,,,,,,
132,,16-05-2018,21-05-2018,31-05-2018,24-06-2018,,,,,
133,,16-05-2018,21-05-2018,04-06-2018,,,,,,
134,,16-05-2018,21-05-2018,01-06-2018,08-06-2018,15-06-2018,,21-06-2018,02-07-2018,M
135,,16-05-2018,21-05-2018,05-06-2018,,,,,,
136,,16-05-2018,21-05-2018,31-05-2018,15-06-2018,,,,,
137,,16-05-2018,21-05-2018,03-06-2018,,,,,,
138,26-06-2018,16-05-2018,21-05-2018,03-06-2018,,,,,,
139,,16-05-2018,21-05-2018,01-06-2018,22-06-2018,,,,,
140,,16-05-2018,21-05-2018,02-06-2018,,,,,,
141,23-06-2018,16-05-2018,21-05-2018,05-06-2018,,,,,,
142,,16-05-2018,21-05-2018,05-06-2018,,,,,,
143,,16-05-2018,21-05-2018,01-06-2018,,,,,,
144,,16-05-2018,21-05-2018,04-06-2018,06-06-2018,22-06-2018,,,,
145,13-06-2018,16-05-2018,21-05-2018,01-06-2018,,,,,,
146,,16-05-2018,21-05-2018,08-06-2018,22-06-2018,,,,,
147,09-06-2018,16-05-2018,21-05-2018,31-05-2018,,,,,,
148,,16-05-2018,21-05-2018,03-06-2018,24-06-2018,,,,,
149,,16-05-2018,21-05-2018,04-06-2018,,,,,,
150,,16-05-2018,21-05-2018,02-06-2018,15-06-2018,18-06-2018,,,,
151,22-06-2018,16-05-2018,21-05-2018,01-06-2018,,,,,,
152,,16-05-2018,21-05-2018,12-06-2018,,,,,,
153,05-06-2018,16-05-2018,21-05-2018,,,,,,,
154,,16-05-2018,21-05-2018,01-06-2018,08-06-2018,15-06-2018,,23-06-2018,07-07-2018,F
155,03-06-2018,16-05-2018,21-05-2018,,,,,,,
156,,16-05-2018,21-05-2018,05-06-2018,18-06-2018,,,,,
157,13-06-2018,16-05-2018,21-05-2018,03-06-2018,,,,,,
158,,16-05-2018,21-05-2018,05-06-2018,,,,,,
159,,16-05-2018,21-05-2018,08-06-2018,24-06-2018,,,,,
160,17-06-2018,16-05-2018,21-05-2018,31-05-2018,,,,,,
161,,16-05-2018,21-05-2018,01-06-2018,19-06-2018,,,,,
162,27-06-2018,16-05-2018,21-05-2018,04-06-2018,05-06-2018,,,,,
163,,16-05-2018,21-05-2018,31-05-2018,07-06-2018,12-06-2018,,19-06-2018,30-06-2018,M
164,,16-05-2018,21-05-2018,03-06-2018,19-06-2018,,,,,
165,22-07-2018,16-05-2018,21-05-2018,07-06-2018,,,,,,
166,04-06-2018,16-05-2018,21-05-2018,02-06-2018,,,,,,
167,,16-05-2018,21-05-2018,02-06-2018,14-06-2018,,,,,
168,,16-05-2018,21-05-2018,01-06-2018,17-06-2018,,,,,
169,27-06-2018,16-05-2018,21-05-2018,03-06-2018,,,,,,
170,,16-05-2018,21-05-2018,31-05-2018,17-06-2018,,,,,
171,,16-05-2018,21-05-2018,03-06-2018,11-06-2018,25-06-2018,,,,
172,27-06-2018,16-05-2018,21-05-2018,,,,,,,
173,,16-05-2018,21-05-2018,31-05-2018,17-06-2018,,,,,
174,22-07-2018,16-05-2018,21-05-2018,01-06-2018,,,,,,
175,22-07-2018,16-05-2018,21-05-2018,02-06-2018,,,,,,
176,22-07-2018,16-05-2018,21-05-2018,01-06-2018,,,,,,
177,14-06-2018,16-05-2018,21-05-2018,06-06-2018,,,,,,
178,,16-05-2018,21-05-2018,04-06-2018,,,,,,
179,05-06-2018,16-05-2018,21-05-2018,,,,,,,
180,,16-05-2018,21-05-2018,03-06-2018,25-06-2018,,,,,
181,,16-05-2018,21-05-2018,04-06-2018,25-06-2018,,,,,
182,25-05-2018,16-05-2018,21-05-2018,,,,,,,
183,07-06-2018,16-05-2018,21-05-2018,31-05-2018,,,,,,
184,,16-05-2018,21-05-2018,06-06-2018,12-06-2018,,,,,
185,,16-05-2018,21-05-2018,31-05-2018,,,,,,
186,,16-05-2018,21-05-2018,02-06-2018,17-06-2018,,,,,
187,,16-05-2018,21-05-2018,31-05-2018,17-06-2018,,,,,
188,,16-05-2018,21-05-2018,09-06-2018,,,,,,
189,26-06-2018,16-05-2018,21-05-2018,01-06-2018,17-06-2018,,,,,
190,,16-05-2018,21-05-2018,05-06-2018,24-06-2018,,,,,
191,,16-05-2018,21-05-2018,03-06-2018,11-06-2018,17-06-2018,,24-06-2018,06-07-2018,M
192,,16-05-2018,21-05-2018,06-07-2018,,,,,,
193,,16-05-2018,21-05-2018,05-06-2018,23-06-2018,,,,,
194,22-07-2018,16-05-2018,21-05-2018,05-06-2018,25-06-2018,,,,,
195,,16-05-2018,21-05-2018,05-06-2018,,,,,,
196,,16-05-2018,21-05-2018,02-06-2018,10-06-2018,18-06-2018,30-06-2018,11-07-2018,21-07-2018,F
197,,16-05-2018,21-05-2018,03-06-2018,22-06-2018,,,,,
198,,16-05-2018,21-05-2018,07-06-2018,21-06-2018,,,,,
199,24-05-2018,16-05-2018,21-05-2018,,,,,,,
200,22-06-2018,16-05-2018,21-05-2018,01-06-2018,15-06-2018,,,,,
Extras,,,,,,,,,,
1,,16-05-2018,21-05-2018,,,,,,,
2,,16-05-2018,21-05-2018,,,,,,,
3,,16-05-2018,21-05-2018,,,,,,,
4,,16-05-2018,21-05-2018,,,,,,,
5,,16-05-2018,21-05-2018,,,,,,,
6,,16-05-2018,21-05-2018,,,,,,,
7,,16-05-2018,21-05-2018,,,,,,,
8,,16-05-2018,21-05-2018,,,,,,,
9,,16-05-2018,21-05-2018,,,,,,,
10,,16-05-2018,21-05-2018,,,,,,,
11,,16-05-2018,21-05-2018,,,,,,,
