Cup #,Dead (DD/MM/YYYY),Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
1,,24-05-2018,29-05-2018,07-06-2018,12-06-2018,17-06-2018,,24-06-2018,04-07-2018,F
2,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,14-06-2018,,19-06-2018,28-06-2018,F
3,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,,,14-06-2018,23-06-2018,M
4,,24-05-2018,29-05-2018,04-06-2018,10-06-2018,14-06-2018,,19-06-2018,28-06-2018,F
5,31-05-2018,24-05-2018,29-05-2018,,,,,,,
6,,24-05-2018,29-05-2018,04-06-2018,09-06-2018,13-06-2018,,18-06-2018,27-06-2018,F
7,08-06-2018,24-05-2018,29-05-2018,,,,,,,
8,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,17-06-2018,26-06-2018,F
9,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,11-06-2018,15-06-2018,18-06-2018,28-06-2018,F
10,06-06-2018,24-05-2018,29-05-2018,,,,,,,
11,,24-05-2018,29-05-2018,07-06-2018,13-06-2018,17-06-2018,,23-06-2018,02-07-2018,M
12,,24-05-2018,29-05-2018,04-06-2018,08-06-2018,12-06-2018,,16-06-2018,23-06-2018,M
13,09-06-2018,24-05-2018,29-05-2018,07-06-2018,,,,,,
14,,24-05-2018,29-05-2018,04-06-2018,09-06-2018,12-06-2018,,16-06-2018,24-06-2018,M
15,,24-05-2018,29-05-2018,06-06-2018,10-06-2018,15-06-2018,,20-06-2018,28-06-2018,M
16,,24-05-2018,29-05-2018,06-06-2018,12-06-2018,,,16-06-2018,26-06-2018,M
17,,24-05-2018,29-05-2018,06-06-2018,11-06-2018,14-06-2018,,18-06-2018,26-06-2018,M
18,15-06-2018,24-05-2018,29-05-2018,06-06-2018,11-06-2018,,,,,
19,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,17-06-2018,25-06-2018,M
20,,24-05-2018,29-05-2018,06-06-2018,10-06-2018,14-06-2018,,20-06-2018,01-07-2018,F
21,,24-05-2018,29-05-2018,06-06-2018,11-06-2018,15-06-2018,,20-06-2018,30-06-2018,F
22,10-06-2018,24-05-2018,29-05-2018,06-06-2018,,,,,,
23,,24-05-2018,29-05-2018,06-06-2018,11-06-2018,14-06-2018,,19-06-2018,28-06-2018,M
24,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,20-06-2018,02-07-2018,F
25,13-07-2018,24-05-2018,29-05-2018,09-06-2018,29-06-2018,,,,,
26,,24-05-2018,29-05-2018,05-06-2018,12-06-2018,,,16-06-2018,24-06-2018,M
27,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,14-06-2018,,18-06-2018,30-06-2018,F
28,20-06-2018,24-05-2018,29-05-2018,05-06-2018,11-06-2018,16-06-2018,,,,
29,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,14-06-2018,,18-06-2018,25-06-2018,M
30,07-06-2018,24-05-2018,29-05-2018,04-06-2018,,,,,,
31,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,17-06-2018,27-06-2018,F
32,14-06-2018,24-05-2018,29-05-2018,05-06-2018,09-06-2018,,,,,
33,15-06-2018,24-05-2018,29-05-2018,,,,,,,
34,,24-05-2018,29-05-2018,04-06-2018,08-06-2018,13-06-2018,,17-06-2018,27-06-2018,F
35,,24-05-2018,29-05-2018,07-06-2018,12-06-2018,16-06-2018,,23-06-2018,03-07-2018,F
36,08-06-2018,24-05-2018,29-05-2018,,,,,,,
37,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,14-06-2018,,20-06-2018,27-06-2018,M
38,,24-05-2018,29-05-2018,07-06-2018,20-06-2018,13-07-2018,,,,
