Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_9_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_11_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_20_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_34_L5,Time_to_20deg_L5,L5.5,Time_in_treatment_L5.5,Days_34_L5.5,Time_to_20deg_L5.5,L5.5.2,Time_in_treatment_L5.5.2,Days_34_L5.5.2,Time_to_20deg_L5.5.2,L6,Time_in_treatment_L6,Days_32_L6,Time_to_20deg_L6,Pupa,Sex
1,,11-05-2018,15-05-2018,14:00,24-05-2018,09:00,30-05-2018,17:00,10-06-2018,09:00,15-06-2018,11:00,05-07-2018,09:00,08-07-2018,13:00,11-08-2018,09:00,,,,,,,,,14-08-2018,11:00,15-09-2018,09:00,24-09-2018,F
2,,11-05-2018,15-05-2018,14:00,24-05-2018,09:00,02-06-2018,15:00,13-06-2018,08:00,18-06-2018,13:00,08-07-2018,10:00,11-07-2018,14:00,14-08-2018,09:00,,,,,,,,,18-08-2018,11:00,19-09-2018,16:00,28-09-2018,F
3,,11-05-2018,15-05-2018,14:00,24-05-2018,09:00,31-05-2018,12:00,11-06-2018,09:00,17-06-2018,13:00,07-07-2018,07:00,10-07-2018,17:00,13-08-2018,09:00,,,,,,,,,17-08-2018,10:00,18-09-2018,09:00,25-09-2018,F
4,11-08-2018,11-05-2018,15-05-2018,14:00,24-05-2018,09:00,30-05-2018,17:00,10-06-2018,09:00,13-06-2018,15:00,03-07-2018,09:00,07-07-2018,11:00,10-08-2018,09:00,,,,,,,,,,,,,,
5,07-06-2018,11-05-2018,15-05-2018,14:00,24-05-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11-05-2018,15-05-2018,14:00,24-05-2018,09:00,30-05-2018,17:00,10-06-2018,09:00,13-06-2018,15:00,03-07-2018,09:00,08-07-2018,13:00,11-08-2018,09:00,,,,,,,,,12-08-2018,09:00,13-09-2018,09:00,22-09-2018,F
7,08-08-2018,11-05-2018,15-05-2018,14:00,24-05-2018,09:00,29-05-2018,15:00,09-06-2018,09:00,15-06-2018,11:00,05-07-2018,09:00,11-07-2018,14:00,14-08-2018,09:00,,,,,,,,,,,,,,
8,16-08-2018,11-05-2018,15-05-2018,14:00,24-05-2018,09:00,31-05-2018,12:00,11-06-2018,09:00,15-06-2018,11:00,05-07-2018,09:00,08-07-2018,13:00,11-08-2018,09:00,,,,,,,,,,,,,,
9,30-09-2018,11-05-2018,15-05-2018,14:00,24-05-2018,09:00,30-05-2018,17:00,10-06-2018,09:00,15-06-2018,11:00,05-07-2018,09:00,11-07-2018,14:00,14-08-2018,09:00,,,,,,,,,15-08-2018,10:00,16-09-2018,09:00,,
10,,11-05-2018,15-05-2018,14:00,24-05-2018,09:00,01-06-2018,14:00,12-06-2018,09:00,18-06-2018,13:00,08-07-2018,10:00,12-07-2018,11:00,15-08-2018,09:00,,,,,,,,,18-08-2018,11:00,19-09-2018,16:00,25-09-2018,M
11,,11-05-2018,15-05-2018,14:00,24-05-2018,09:00,29-05-2018,15:00,09-06-2018,09:00,13-06-2018,15:00,03-07-2018,09:00,08-07-2018,13:00,11-08-2018,09:00,,,,,,,,,13-08-2018,11:00,14-09-2018,10:00,26-09-2018,F
12,,11-05-2018,15-05-2018,14:00,24-05-2018,09:00,01-06-2018,14:00,12-06-2018,09:00,25-06-2018,15:00,15-07-2018,09:00,,,,,,,,,,,,,,,,,,
13,,11-05-2018,15-05-2018,14:00,24-05-2018,09:00,01-06-2018,14:00,12-06-2018,09:00,15-06-2018,11:00,05-07-2018,09:00,11-07-2018,14:00,14-08-2018,09:00,,,,,,,,,17-08-2018,10:00,18-09-2018,09:00,26-09-2018,M
14,,11-05-2018,15-05-2018,14:00,24-05-2018,09:00,29-05-2018,15:00,09-06-2018,09:00,13-06-2018,15:00,03-07-2018,09:00,07-07-2018,11:00,10-08-2018,09:00,,,,,,,,,13-08-2018,11:00,14-09-2018,10:00,27-09-2018,F
15,05-09-2018,11-05-2018,15-05-2018,14:00,24-05-2018,09:00,30-05-2018,17:00,10-06-2018,09:00,16-06-2018,12:00,06-07-2018,09:00,11-07-2018,14:00,14-08-2018,09:00,16-08-2018,10:00,19-09-2018,,,,,,,,,,,
