Cup,L2,Dead,Days_L2,L3,Days_L3,L4,Days_L4,skippers_L4,L5,Days_L5,L6,Days_L6,skippers_L6,Pupa,Sex,total_days
1,2005-02-17,,8,2013-02-17,6,2019-02-17,6,,2025-02-17,6,2003-03-17,15,,2018-03-17,F,41
2,2005-02-17,,7,2012-02-17,6,2018-02-17,4,,2022-02-17,2,2024-02-17,13,,2009-03-17,M,32
3,2005-02-17,,7,2012-02-17,7,2019-02-17,,6,,,2025-02-17,,12,2009-03-17,M,32
4,2005-02-17,,7,2012-02-17,6,2018-02-17,4,,2022-02-17,2,2024-02-17,11,,2007-03-17,M,30
5,2005-02-17,,7,2012-02-17,6,2018-02-17,5,,2023-02-17,7,2002-03-17,13,,2015-03-17,F,38
6,2005-02-17,2012-02-17,,,,,,,,,,,,,,
7,2005-02-17,2002-04-17,7,2012-02-17,5,2017-02-17,25,,2014-03-17,,,,,,,
8,2005-02-17,,7,2012-02-17,5,2017-02-17,6,,2023-02-17,7,2002-03-17,12,,2014-03-17,F,37
9,2005-02-17,,7,2012-02-17,6,2018-02-17,2,,2020-02-17,4,2024-02-17,11,,2007-03-17,M,30
10,2005-02-17,,7,2012-02-17,6,2018-02-17,4,,2022-02-17,2,2024-02-17,11,,2007-03-17,F,30
11,2005-02-17,,6,2011-02-17,7,2018-02-17,6,,2024-02-17,1,2025-02-17,13,,2010-03-17,F,33
12,2005-02-17,,6,2011-02-17,7,2018-02-17,,7,,,2025-02-17,,12,2009-03-17,M,32
13,2005-02-17,2002-04-17,11,2016-02-17,2,2018-03-17,,,,,,,,,,
14,2005-02-17,,7,2012-02-17,7,2019-02-17,,6,,,2025-02-17,,12,2009-03-17,M,32
15,2005-02-17,2014-03-17,7,2012-02-17,6,2018-02-17,,,2024-02-17,5,2001-03-17,,,,,
16,2005-02-17,,7,2012-02-17,7,2019-02-17,6,,2025-02-17,7,2004-03-17,12,,2016-03-17,F,39
17,2005-02-17,,7,2012-02-17,6,2018-02-17,5,,2023-02-17,6,2001-03-17,14,,2015-03-17,F,38
18,2005-02-17,,6,2011-02-17,7,2018-02-17,5,,2023-02-17,5,2028-02-17,12,,2012-03-17,F,35
19,2005-02-17,,7,2012-02-17,7,2019-02-17,5,,2024-02-17,6,2002-03-17,12,,2014-03-17,M,37
20,2005-02-17,,7,2012-02-17,7,2019-02-17,5,,2024-02-17,1,2025-02-17,12,,2009-03-17,M,32
21,2005-02-17,,7,2012-02-17,6,2018-02-17,5,,2023-02-17,7,2002-03-17,12,,2014-03-17,F,37
22,2005-02-17,,6,2011-02-17,7,2018-02-17,3,,2021-02-17,4,2025-02-17,12,,2009-03-17,M,32
23,2005-02-17,2002-04-17,7,2012-02-17,20,2004-03-17,,,,,,,,,,
24,2005-02-17,,6,2011-02-17,6,2017-02-17,5,,2022-02-17,6,2028-02-17,13,,2013-03-17,F,36
25,2005-02-17,,8,2013-02-17,6,2019-02-17,6,,2025-02-17,2,2027-02-17,18,,2017-03-17,F,40
26,2005-02-17,2001-03-17,8,2013-02-17,,,,,,,,,,,,
27,2005-02-17,,7,2012-02-17,9,2021-02-17,6,,2027-02-17,7,2006-03-17,16,,2022-03-17,F,45
28,2005-02-17,,7,2012-02-17,6,2018-02-17,2,,2020-02-17,4,2024-02-17,13,,2009-03-17,M,32
29,2005-02-17,,7,2012-02-17,6,2018-02-17,5,,2023-02-17,7,2002-03-17,15,,2017-03-17,F,40
30,2005-02-17,,7,2012-02-17,6,2018-02-17,,7,,,2025-02-17,,13,2010-03-17,F,33
31,2005-02-17,,7,2012-02-17,7,2019-02-17,5,,2024-02-17,2,2026-02-17,12,,2010-03-17,F,33
32,2005-02-17,,6,2011-02-17,7,2018-02-17,2,,2020-02-17,5,2025-02-17,13,,2010-03-17,M,33
33,2005-02-17,,6,2011-02-17,6,2017-02-17,6,,2023-02-17,1,2024-02-17,11,,2007-03-17,M,30
34,2005-02-17,2020-02-17,7,2012-02-17,,,,,,,,,,,,
35,2005-02-17,2002-04-17,7,2012-02-17,24,2008-03-17,,,,,,,,,,
36,2005-02-17,,6,2011-02-17,6,2017-02-17,4,,2021-02-17,3,2024-02-17,13,,2009-03-17,F,32
37,2005-02-17,,7,2012-02-17,6,2018-02-17,3,,2021-02-17,3,2024-02-17,13,,2009-03-17,F,32
38,2005-02-17,,7,2012-02-17,6,2018-02-17,5,,2023-02-17,7,2002-03-17,11,,2013-03-17,M,36
39,2005-02-17,2029-04-17,8,2013-02-17,18,2003-03-17,26,,2029-03-17,,,,,,,
40,2005-02-17,2029-04-17,7,2012-02-17,7,2019-02-17,24,,2015-03-17,,,,,,,
41,2005-02-17,,7,2012-02-17,7,2019-02-17,5,,2024-02-17,2,2026-02-17,14,,2012-03-17,M,35
42,2005-02-17,,7,2012-02-17,6,2018-02-17,5,,2023-02-17,6,2001-03-17,13,,2014-03-17,F,37
43,2005-02-17,,8,2013-02-17,7,2020-02-17,,7,,,2027-02-17,,12,2011-03-17,M,34
44,2005-02-17,,8,2013-02-17,6,2019-02-17,6,,2025-02-17,7,2004-03-17,14,,2018-03-17,F,41
45,2005-02-17,,7,2012-02-17,5,2017-02-17,5,,2022-02-17,6,2028-02-17,12,,2012-03-17,F,35
46,2005-02-17,2002-04-17,8,2013-02-17,25,2010-03-17,,,,,,,,,,
47,2005-02-17,,7,2012-02-17,5,2017-02-17,5,,2022-02-17,6,2028-02-17,13,,2013-03-17,F,36
48,2005-02-17,2009-02-17,,,,,,,,,,,,,,
49,2005-02-17,,7,2012-02-17,6,2018-02-17,3,,2021-02-17,3,2024-02-17,11,,2007-03-17,M,30
50,2005-02-17,,7,2012-02-17,7,2019-02-17,,6,,,2025-02-17,,11,2007-03-17,M,30
51,2005-02-17,2020-02-17,7,2012-02-17,,,,,,,,,,,,
52,2005-02-17,2002-04-17,7,2012-02-17,21,2005-03-17,,,,,,,,,,
53,2005-02-17,,7,2012-02-17,6,2018-02-17,2,,2020-02-17,5,2025-02-17,13,,2010-03-17,F,33
54,2005-02-17,,7,2012-02-17,6,2018-02-17,6,,2024-02-17,1,2025-02-17,13,,2010-03-17,M,33
55,2005-02-17,,7,2012-02-17,6,2018-02-17,5,,2023-02-17,6,2001-03-17,12,,2013-03-17,F,36
56,2005-02-17,,7,2012-02-17,7,2019-02-17,5,,2024-02-17,6,2002-03-17,13,,2015-03-17,F,38
57,2005-02-17,,7,2012-02-17,6,2018-02-17,2,,2020-02-17,4,2024-02-17,13,,2009-03-17,M,32
58,2005-02-17,,7,2012-02-17,7,2019-02-17,,,,,2025-02-17,12,,2009-03-17,M,32
59,2005-02-17,,7,2012-02-17,6,2018-02-17,6,,2024-02-17,2,2026-02-17,14,,2012-03-17,F,35
60,2005-02-17,,7,2012-02-17,7,2019-02-17,,6,,,2025-02-17,14,,2011-03-17,M,34
61,2005-02-17,,7,2012-02-17,6,2018-02-17,2,,2020-02-17,4,2024-02-17,13,,2009-03-17,M,32
62,2005-02-17,,7,2012-02-17,6,2018-02-17,6,,2024-02-17,1,2025-02-17,13,,2010-03-17,F,33
63,2005-02-17,2009-03-17,8,2013-02-17,,,,,,,,,,,,
64,2005-02-17,,7,2012-02-17,7,2019-02-17,5,,2024-02-17,6,2002-03-17,12,,2014-03-17,F,37
65,2005-02-17,,6,2011-02-17,6,2017-02-17,5,,2022-02-17,6,2028-02-17,12,,2012-03-17,M,35
66,2005-02-17,,7,2012-02-17,6,2018-02-17,2,,2020-02-17,7,2027-02-17,8,,2007-03-17,M,30
67,2005-02-17,,7,2012-02-17,6,2018-02-17,,7,,,2025-02-17,,11,2008-03-17,M,31
68,2005-02-17,2005-03-17,6,2011-02-17,7,2018-02-17,3,,2021-02-17,,2024-02-17,,,,,
69,2005-02-17,,7,2012-02-17,6,2018-02-17,3,,2021-02-17,4,2025-02-17,12,,2009-03-17,M,32
70,2005-02-17,,6,2011-02-17,6,2017-02-17,3,,2020-02-17,4,2024-02-17,11,,2007-03-17,M,30
71,2005-02-17,,7,2012-02-17,7,2019-02-17,,7,,,2026-02-17,,12,2010-03-17,M,33
72,2005-02-17,,7,2012-02-17,7,2019-02-17,5,,2024-02-17,1,2025-02-17,13,,2010-03-17,M,33
73,2005-02-17,,7,2012-02-17,6,2018-02-17,5,,2023-02-17,6,2001-03-17,12,,2013-03-17,F,36
74,2005-02-17,,7,2012-02-17,5,2017-02-17,5,,2022-02-17,7,2027-02-17,12,,2011-03-17,F,34
75,2005-02-17,2027-02-17,6,2011-02-17,8,2019-02-17,,,,,,,,,,
76,2005-02-17,,6,2011-02-17,7,2018-02-17,2,,2020-02-17,4,2024-02-17,13,,2009-03-17,M,32
77,2005-02-17,2022-03-17,7,2012-02-17,6,2018-02-17,2,,2020-02-17,4,2024-02-17,,,,,
78,2005-02-17,2002-04-17,8,2013-02-17,,,,,,,,,,,,
79,2005-02-17,2020-02-17,6,2011-02-17,8,2019-02-17,,,,,,,,,,
80,2005-02-17,,6,2011-02-17,6,2017-02-17,5,,2022-02-17,6,2028-02-17,11,,2011-03-17,F,34
81,2005-02-17,2002-04-17,7,2012-02-17,13,2025-02-17,26,,2023-03-17,,,,,,,
82,2005-02-17,,7,2012-02-17,6,2018-02-17,2,,2020-02-17,4,2024-02-17,13,,2009-03-17,M,32
83,2005-02-17,,7,2012-02-17,7,2019-02-17,,7,,,2025-02-17,,11,2008-03-17,M,31
