Cup,L2,Dead,Days_L2,L3,Days_L3,L4,Days_L4,skippers_L4,L5,Days_L5,L6,Days_L6,skippers_L6,Pupa,Sex,total_days,Extra
1,2018-12-16,,3,2021-12-16,3,2024-12-16,2,,2026-12-16,2,2028-12-16,5,,2002-01-17,M,15,0
2,2018-12-16,,4,2022-12-16,3,2025-12-16,2,,2027-12-16,2,2029-12-16,5,,2003-01-17,M,16,0
3,2018-12-16,,4,2022-12-16,2,2024-12-16,2,,2026-12-16,3,2029-12-16,5,,2003-01-17,F,16,0
4,2018-12-16,,3,2021-12-16,2,2023-12-16,3,,2026-12-16,4,1930-12-16,5,,2004-01-17,F,17,0
5,2018-12-16,,3,2021-12-16,3,2024-12-16,2,,2026-12-16,2,2028-12-16,6,,2003-01-17,F,16,0
6,2018-12-16,,5,2023-12-16,5,2028-12-16,7,,2004-01-17,5,2009-01-17,4,,2013-01-17,F,26,0
7,2018-12-16,2023-01-17,4,2022-12-16,14,2005-01-17,,,,,,,,,,,0
8,2018-12-16,,3,2021-12-16,3,2024-12-16,2,,2026-12-16,3,2029-12-16,5,,2003-01-17,F,16,0
9,2018-12-16,,3,2021-12-16,3,2024-12-16,2,,2026-12-16,4,1930-12-16,6,,2005-01-17,F,18,0
10,2018-12-16,,3,2021-12-16,3,2024-12-16,3,,2027-12-16,3,1930-12-16,6,,2005-01-17,M,18,0
11,2018-12-16,,3,2021-12-16,3,2024-12-16,3,,2027-12-16,3,1930-12-16,6,,2005-01-17,F,18,0
12,2018-12-16,,4,2022-12-16,2,2024-12-16,2,,2026-12-16,3,2029-12-16,7,,2005-01-17,F,18,0
13,2018-12-16,,3,2021-12-16,2,2023-12-16,3,,2026-12-16,2,2028-12-16,6,,2003-01-17,F,16,0
14,2018-12-16,,4,2022-12-16,2,2024-12-16,2,,2026-12-16,4,1930-12-16,7,,2006-01-17,F,19,0
15,2018-12-16,2008-01-17,4,2022-12-16,2,2024-12-16,2,,2026-12-16,4,1930-12-16,,,,,,0
16,2018-12-16,,4,2022-12-16,2,2024-12-16,3,,2027-12-16,1,2028-12-16,4,,2001-01-17,M,14,0
17,2018-12-16,,3,2021-12-16,3,2024-12-16,2,,2026-12-16,3,2029-12-16,6,,2004-01-17,F,17,0
18,2018-12-16,,4,2022-12-16,2,2024-12-16,2,,2026-12-16,6,2001-01-17,6,,2007-01-17,M,20,0
19,2018-12-16,,4,2022-12-16,2,2024-12-16,3,,2027-12-16,3,1930-12-16,5,,2004-01-17,F,17,0
