Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_4_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_8_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_6_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_6_L5,Time_to_20deg_L5,L6,Time_in_treatment_L6,Days_10_L6,Time_to_20deg_L6,Pupa,Sex
1,31-10-2017,10-11-2017,16-10-2017,11:15,20-10-2017,10:55,,,,,,,,,,,,,,,,,,
2,,10-11-2017,16-10-2017,11:15,20-10-2017,10:55,25-10-2017,15:15,02-11-2017,14:57,05-11-2017,10:50,11-11-2017,10:11,13-11-2017,10:39,19-11-2017,09:12,22-11-2017,10:15,02-12-2017,09:10,09-12-2017,F
3,,10-11-2017,16-10-2017,11:15,20-10-2017,10:55,24-10-2017,11:31,01-11-2017,09:57,03-11-2017,11:59,09-11-2017,09:20,11-11-2017,11:09,17-11-2017,09:24,20-11-2017,11:43,30-11-2017,09:16,06-12-2017,F
4,,10-11-2017,16-10-2017,11:15,20-10-2017,10:55,23-10-2017,12:07,31-10-2017,09:26,02-11-2017,11:00,08-11-2017,09:28,10-11-2017,10:16,16-11-2017,09:28,19-11-2017,10:30,29-11-2017,09:15,05-12-2017,F
5,,10-11-2017,16-10-2017,11:15,20-10-2017,10:55,23-10-2017,12:07,31-10-2017,09:26,02-11-2017,11:00,08-11-2017,09:28,10-11-2017,10:16,16-11-2017,09:28,18-11-2017,10:55,28-11-2017,10:36,05-12-2017,F
6,09-11-2017,10-11-2017,16-10-2017,11:15,20-10-2017,10:55,26-10-2017,10:00,03-11-2017,10:25,,,,,,,,,,,,,,
7,,10-11-2017,16-10-2017,11:15,20-10-2017,10:55,25-10-2017,15:15,02-11-2017,14:57,04-11-2017,11:51,10-11-2017,09:21,12-11-2017,11:01,18-11-2017,10:30,21-11-2017,11:45,01-12-2017,08:57,06-12-2017,M
8,06-12-2017,10-11-2017,16-10-2017,11:15,20-10-2017,10:55,24-10-2017,11:31,01-11-2017,09:57,02-11-2017,11:00,08-11-2017,09:28,10-11-2017,10:16,16-11-2017,09:28,19-11-2017,10:30,29-11-2017,09:15,,
9,,10-11-2017,16-10-2017,11:15,20-10-2017,10:55,24-10-2017,11:31,01-11-2017,09:57,02-11-2017,11:00,08-11-2017,09:28,10-11-2017,10:16,16-11-2017,09:28,18-11-2017,10:55,28-11-2017,10:36,04-12-2017,F
10,,10-11-2017,16-10-2017,11:15,20-10-2017,10:55,25-10-2017,15:15,02-11-2017,14:57,04-11-2017,11:51,10-11-2017,09:21,12-11-2017,11:01,18-11-2017,10:30,21-11-2017,11:45,01-12-2017,08:57,06-12-2017,F
11,,10-11-2017,16-10-2017,11:15,20-10-2017,10:55,24-10-2017,11:31,01-11-2017,09:57,03-11-2017,11:59,09-11-2017,09:20,11-11-2017,11:09,17-11-2017,09:24,19-11-2017,10:30,29-11-2017,09:15,03-12-2017,M
12,,10-11-2017,16-10-2017,11:15,20-10-2017,10:55,24-10-2017,11:31,01-11-2017,09:57,03-11-2017,11:59,09-11-2017,09:20,11-11-2017,11:09,17-11-2017,09:24,19-11-2017,10:30,29-11-2017,09:15,05-12-2017,M
13,,10-11-2017,16-10-2017,11:15,20-10-2017,10:55,24-10-2017,11:31,01-11-2017,09:57,03-11-2017,11:59,09-11-2017,09:20,12-11-2017,11:01,18-11-2017,10:30,20-11-2017,11:43,30-11-2017,09:16,02-12-2017,M
