Cup,Dead,L2_crisper,L2,L3,L4,L5,L6,Pupa,Sex,Days_L2,Days_L3,Days_L4,Days_L5,skippers_L4,Days_L6,skippers_L6
1,16-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
2,,01-09-2017,06-09-2017,15-09-2017,20-09-2017,25-09-2017,01-10-2017,12-10-2017,M,9,5,5,6,,11,
3,28-09-2017,01-09-2017,06-09-2017,15-09-2017,,,,,,9,,,,,,
4,,01-09-2017,06-09-2017,15-09-2017,22-09-2017,28-09-2017,04-10-2017,15-10-2017,M,9,7,6,6,,11,
5,15-09-2017,01-09-2017,06-09-2017,14-09-2017,,,,,,8,,,,,,
6,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,,28-09-2017,10-10-2017,M,9,6,,,7,12,12
7,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,26-09-2017,03-10-2017,17-10-2017,F,9,6,5,7,,14,
8,22-09-2017,01-09-2017,06-09-2017,16-09-2017,,,,,,10,,,,,,
9,03-10-2017,01-09-2017,06-09-2017,17-09-2017,,,,,,11,,,,,,
10,,01-09-2017,06-09-2017,14-09-2017,21-09-2017,26-09-2017,02-10-2017,13-10-2017,M,8,7,5,6,,11,
11,23-10-2017,01-09-2017,06-09-2017,15-09-2017,03-10-2017,,,,,9,,,,,,
12,13-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
13,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,,28-09-2017,11-10-2017,M,9,6,,,7,13,13
14,17-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
15,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,04-10-2017,15-10-2017,M,8,6,6,8,,11,
16,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,02-10-2017,15-10-2017,M,8,6,6,6,,13,
17,,01-09-2017,06-09-2017,14-09-2017,22-09-2017,28-09-2017,04-10-2017,15-10-2017,M,8,8,6,6,,11,
18,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,03-10-2017,15-10-2017,M,8,6,6,7,,12,
19,29-09-2017,01-09-2017,06-09-2017,14-09-2017,,,,,,8,,,,,,
20,,01-09-2017,06-09-2017,15-09-2017,20-09-2017,26-09-2017,01-10-2017,13-10-2017,M,9,5,6,5,,12,
21,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,25-09-2017,01-10-2017,15-10-2017,M,8,6,5,6,,14,
22,,01-09-2017,06-09-2017,16-09-2017,23-09-2017,,30-09-2017,13-10-2017,M,10,7,,,7,13,13
23,05-10-2017,01-09-2017,06-09-2017,16-09-2017,,,,,,10,,,,,,
24,,01-09-2017,06-09-2017,16-09-2017,23-09-2017,29-09-2017,05-10-2017,17-10-2017,M,10,7,6,6,,12,
25,,01-09-2017,06-09-2017,15-09-2017,18-09-2017,,28-09-2017,10-10-2017,M,9,3,,,10,12,12
26,20-09-2017,01-09-2017,06-09-2017,15-09-2017,18-09-2017,,,,,9,3,,,,,
27,,01-09-2017,06-09-2017,16-09-2017,22-09-2017,27-09-2017,04-10-2017,15-10-2017,M,10,6,5,7,,11,
28,18-09-2017,01-09-2017,06-09-2017,13-09-2017,,,,,,7,,,,,,
29,,01-09-2017,06-09-2017,16-09-2017,22-09-2017,28-09-2017,05-10-2017,19-10-2017,F,10,6,6,7,,14,
30,23-10-2017,01-09-2017,06-09-2017,15-09-2017,05-10-2017,,,,,9,,,,,,
31,,01-09-2017,06-09-2017,16-09-2017,22-09-2017,27-09-2017,04-10-2017,16-10-2017,F,10,6,5,7,,12,
32,21-09-2017,01-09-2017,06-09-2017,14-09-2017,20-09-2017,,,,,8,6,,,,,
33,20-09-2017,01-09-2017,06-09-2017,18-09-2017,,,,,,12,,,,,,
34,14-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
35,20-09-2017,01-09-2017,06-09-2017,17-09-2017,,,,,,11,,,,,,
36,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,03-10-2017,16-10-2017,F,8,6,6,7,,13,
37,,01-09-2017,06-09-2017,18-09-2017,24-09-2017,30-09-2017,06-10-2017,17-10-2017,M,12,6,6,6,,11,
38,,01-09-2017,06-09-2017,16-09-2017,21-09-2017,26-09-2017,02-10-2017,15-10-2017,F,10,5,5,6,,13,
39,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,02-10-2017,15-10-2017,F,8,6,6,6,,13,
40,11-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
41,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,,28-09-2017,10-10-2017,M,9,6,,,7,12,12
42,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,25-09-2017,01-10-2017,12-10-2017,M,8,6,5,6,,11,
43,,01-09-2017,06-09-2017,15-09-2017,22-09-2017,,29-09-2017,11-10-2017,M,9,7,,,7,12,12
44,17-09-2017,01-09-2017,06-09-2017,14-09-2017,,,,,,8,,0,,,,
45,,01-09-2017,06-09-2017,16-09-2017,21-09-2017,26-09-2017,03-10-2017,16-10-2017,F,10,5,5,7,,13,
46,15-09-2017,01-09-2017,06-09-2017,11-09-2017,,,,,,5,,,,,,
47,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,02-10-2017,13-10-2017,M,8,6,6,6,,11,
48,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,,26-09-2017,08-10-2017,M,8,6,,,6,12,12
49,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,02-10-2017,15-10-2017,F,8,6,6,6,,13,
50,,01-09-2017,06-09-2017,15-09-2017,20-09-2017,26-09-2017,01-10-2017,12-10-2017,M,9,5,6,5,,11,
51,09-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
52,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,,27-09-2017,09-10-2017,M,8,6,,,7,12,12
53,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,03-10-2017,15-10-2017,F,8,6,6,7,,12,
54,,01-09-2017,06-09-2017,12-09-2017,18-09-2017,23-09-2017,29-09-2017,09-10-2017,M,6,6,5,6,,10,
55,,01-09-2017,06-09-2017,16-09-2017,21-09-2017,27-09-2017,04-10-2017,16-10-2017,F,10,5,6,7,,12,
56,,01-09-2017,06-09-2017,14-09-2017,22-09-2017,28-09-2017,04-10-2017,15-10-2017,M,8,8,6,6,,11,
57,,01-09-2017,06-09-2017,15-09-2017,22-09-2017,28-09-2017,04-10-2017,17-10-2017,F,9,7,6,6,,13,
58,,01-09-2017,06-09-2017,13-09-2017,20-09-2017,26-09-2017,02-10-2017,16-10-2017,F,7,7,6,6,,14,
59,,01-09-2017,06-09-2017,15-09-2017,20-09-2017,25-09-2017,01-10-2017,14-10-2017,F,9,5,5,6,,13,
60,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,25-09-2017,01-10-2017,14-10-2017,F,8,6,5,6,,13,
61,14-09-2017,01-09-2017,06-09-2017,13-09-2017,,,,,,7,,,,,,
62,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,25-09-2017,01-10-2017,14-10-2017,F,8,6,5,6,,13,
63,,01-09-2017,06-09-2017,14-09-2017,21-09-2017,28-09-2017,05-10-2017,19-10-2017,F,8,7,7,7,,14,
64,13-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
65,15-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
66,,01-09-2017,06-09-2017,14-09-2017,21-09-2017,,28-09-2017,09-10-2017,M,8,7,,,7,11,11
67,,01-09-2017,06-09-2017,16-09-2017,27-09-2017,02-10-2017,15-10-2017,27-10-2017,M,10,11,5,13,,12,
68,,01-09-2017,06-09-2017,15-09-2017,22-09-2017,28-09-2017,05-10-2017,20-10-2017,F,9,7,6,7,,15,
69,21-09-2017,01-09-2017,06-09-2017,15-09-2017,,,,,,9,,,,,,
70,,01-09-2017,06-09-2017,15-09-2017,22-09-2017,27-09-2017,02-10-2017,13-10-2017,M,9,7,5,5,,11,
71,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,02-10-2017,16-10-2017,F,8,6,6,6,,14,
72,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,,29-09-2017,11-10-2017,M,9,6,,,8,12,12
73,,01-09-2017,06-09-2017,16-09-2017,22-09-2017,28-09-2017,04-10-2017,16-10-2017,M,10,6,6,6,,12,
74,23-10-2017,01-09-2017,06-09-2017,16-09-2017,29-09-2017,,,,,10,13,,,,,
75,,01-09-2017,06-09-2017,16-09-2017,21-09-2017,26-09-2017,02-10-2017,17-10-2017,F,10,5,5,6,,15,
76,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,,28-09-2017,12-10-2017,F,9,6,,,7,14,14
77,,01-09-2017,06-09-2017,14-09-2017,21-09-2017,28-09-2017,04-10-2017,15-10-2017,F,8,7,7,6,,11,
78,17-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
79,20-09-2017,01-09-2017,06-09-2017,15-09-2017,,,,,,9,,,,,,
80,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,02-10-2017,15-10-2017,F,8,6,6,6,,13,
81,,01-09-2017,06-09-2017,15-09-2017,23-09-2017,28-09-2017,04-10-2017,16-10-2017,M,9,8,5,6,,12,
82,,01-09-2017,06-09-2017,17-09-2017,24-09-2017,29-09-2017,06-10-2017,18-10-2017,M,11,7,5,7,,12,
83,20-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
84,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,28-09-2017,04-10-2017,18-10-2017,F,9,6,7,6,,14,
85,15-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
86,,01-09-2017,06-09-2017,14-09-2017,21-09-2017,26-09-2017,04-10-2017,16-10-2017,F,8,7,5,8,,12,
87,,01-09-2017,06-09-2017,17-09-2017,24-09-2017,29-09-2017,10-10-2017,25-10-2017,F,11,7,5,11,,15,
88,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,27-09-2017,02-10-2017,14-10-2017,M,9,6,6,5,,12,
89,,01-09-2017,06-09-2017,14-09-2017,19-09-2017,25-09-2017,01-10-2017,11-10-2017,M,8,5,6,6,,10,
90,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,01-10-2017,13-10-2017,M,8,6,6,5,,12,
91,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,02-10-2017,13-10-2017,M,8,6,6,6,,11,
92,12-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
93,,01-09-2017,06-09-2017,17-09-2017,23-09-2017,29-09-2017,05-10-2017,17-10-2017,M,11,6,6,6,,12,
94,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,02-10-2017,14-10-2017,M,8,6,6,6,,12,
95,,01-09-2017,06-09-2017,16-09-2017,18-09-2017,22-09-2017,29-09-2017,14-10-2017,F,10,2,4,7,,15,
96,,01-09-2017,06-09-2017,11-09-2017,21-09-2017,26-09-2017,03-10-2017,16-10-2017,F,5,10,5,7,,13,
97,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,27-09-2017,03-10-2017,14-10-2017,M,9,6,6,6,,11,
98,,01-09-2017,06-09-2017,15-09-2017,22-09-2017,27-09-2017,04-10-2017,15-10-2017,M,9,7,5,7,,11,
99,20-09-2017,01-09-2017,06-09-2017,14-09-2017,,,,,,8,,,,,,
100,10-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
101,13-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
102,,01-09-2017,06-09-2017,14-09-2017,21-09-2017,26-09-2017,03-10-2017,17-10-2017,F,8,7,5,7,,14,
103,,01-09-2017,06-09-2017,16-09-2017,22-09-2017,28-09-2017,04-10-2017,17-10-2017,F,10,6,6,6,,13,
104,,01-09-2017,06-09-2017,13-09-2017,20-09-2017,,28-09-2017,11-10-2017,M,7,7,,,8,13,13
105,,01-09-2017,06-09-2017,15-09-2017,22-09-2017,28-09-2017,05-10-2017,18-10-2017,F,9,7,6,7,,13,
106,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,26-09-2017,04-10-2017,14-10-2017,M,9,6,5,8,,10,
107,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,02-10-2017,14-10-2017,F,8,6,6,6,,12,
108,07-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
109,07-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
110,,01-09-2017,06-09-2017,14-09-2017,21-09-2017,,28-09-2017,10-10-2017,M,8,7,,,7,12,12
111,26-09-2017,01-09-2017,06-09-2017,18-09-2017,24-09-2017,,,,,12,6,,,,,
112,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,25-09-2017,01-10-2017,15-10-2017,F,8,6,5,6,,14,
113,07-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
114,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,27-09-2017,04-10-2017,18-10-2017,F,9,6,6,7,,14,
115,13-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
116,11-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
117,,01-09-2017,06-09-2017,15-09-2017,20-09-2017,26-09-2017,02-10-2017,15-10-2017,F,9,5,6,6,,13,
118,,01-09-2017,06-09-2017,15-09-2017,22-09-2017,,30-09-2017,12-10-2017,M,9,7,,,8,12,12
119,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,,28-09-2017,11-10-2017,M,9,6,,,7,13,13
120,28-09-2017,01-09-2017,06-09-2017,16-09-2017,23-09-2017,,,,,10,7,,,,,
121,,01-09-2017,06-09-2017,14-09-2017,21-09-2017,26-09-2017,02-10-2017,14-10-2017,M,8,7,5,6,,12,
122,,01-09-2017,06-09-2017,13-09-2017,20-09-2017,,27-09-2017,09-10-2017,M,7,7,,,7,12,12
123,13-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
124,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,02-10-2017,16-10-2017,F,8,6,6,6,,14,
125,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,,28-09-2017,11-10-2017,M,8,6,,,8,13,13
126,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,,28-09-2017,11-10-2017,M,8,6,,,8,13,13
127,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,02-10-2017,16-10-2017,F,8,6,6,6,,14,
128,13-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
129,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,,27-09-2017,09-10-2017,M,8,6,,,7,12,12
130,,01-09-2017,06-09-2017,13-09-2017,20-09-2017,,26-09-2017,08-10-2017,M,7,7,,,6,12,12
131,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,,28-09-2017,10-10-2017,M,9,6,,,7,12,12
132,08-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
133,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,,28-09-2017,10-10-2017,M,8,6,,,8,12,12
134,14-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
135,,01-09-2017,06-09-2017,14-09-2017,19-09-2017,25-09-2017,01-10-2017,12-10-2017,M,8,5,6,6,,11,
