Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
1,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,31-03-2018,,04-04-2018,,12-04-2018,M
2,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,30-03-2018,,04-04-2018,,12-04-2018,M
3,,09-03-2018,14-03-2018,21-03-2018,25-03-2018,31-03-2018,,04-04-2018,,12-04-2018,M
4,,09-03-2018,14-03-2018,22-03-2018,28-03-2018,03-04-2018,,08-04-2018,,17-04-2018,M
5,22-03-2018,09-03-2018,14-03-2018,,,,,,,,
6,13-04-2018,09-03-2018,14-03-2018,21-03-2018,26-03-2018,30-03-2018,,04-04-2018,,,
7,,09-03-2018,14-03-2018,23-03-2018,28-03-2018,01-04-2018,,05-04-2018,,14-04-2018,M
8,,09-03-2018,14-03-2018,21-03-2018,27-03-2018,01-04-2018,,06-04-2018,,13-04-2018,M
9,29-03-2018,09-03-2018,14-03-2018,23-03-2018,,,,,,,
10,,09-03-2018,14-03-2018,22-03-2018,28-03-2018,01-04-2018,,07-04-2018,,16-04-2018,F
11,,09-03-2018,14-03-2018,23-03-2018,28-03-2018,02-04-2018,,09-04-2018,,20-04-2018,F
12,,09-03-2018,14-03-2018,20-03-2018,25-03-2018,03-04-2018,,10-04-2018,,20-04-2018,M
13,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,01-04-2018,,05-04-2018,,14-04-2018,M
14,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,01-04-2018,,07-04-2018,,18-04-2018,F
15,,09-03-2018,14-03-2018,21-03-2018,24-03-2018,30-03-2018,,05-04-2018,,16-04-2018,F
16,26-03-2018,09-03-2018,14-03-2018,,,,,,,,
17,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,01-04-2018,,06-04-2018,,14-04-2018,M
18,23-03-2018,09-03-2018,14-03-2018,,,,,,,,
19,,09-03-2018,14-03-2018,21-03-2018,25-03-2018,30-03-2018,,04-04-2018,,12-04-2018,M
20,21-03-2018,09-03-2018,14-03-2018,,,,,,,,
21,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,31-03-2018,,06-04-2018,,16-04-2018,F
22,,09-03-2018,14-03-2018,22-03-2018,28-03-2018,01-04-2018,,07-04-2018,,18-04-2018,M
23,,09-03-2018,14-03-2018,22-03-2018,28-03-2018,02-04-2018,,08-04-2018,,18-04-2018,M
24,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,01-04-2018,,05-04-2018,,13-04-2018,M
25,27-03-2018,09-03-2018,14-03-2018,25-03-2018,,,,,,,
26,,09-03-2018,14-03-2018,24-03-2018,29-03-2018,03-04-2018,,07-04-2018,,15-04-2018,M
27,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,02-04-2018,,07-04-2018,,19-04-2018,F
28,27-03-2018,09-03-2018,14-03-2018,21-03-2018,,,,,,,
29,19-03-2018,09-03-2018,14-03-2018,,,,,,,,
30,,09-03-2018,14-03-2018,21-03-2018,27-03-2018,01-04-2018,,06-04-2018,,16-04-2018,F
31,,09-03-2018,14-03-2018,22-03-2018,26-03-2018,31-03-2018,,05-04-2018,,13-04-2018,M
32,,09-03-2018,14-03-2018,23-03-2018,29-03-2018,02-04-2018,,08-04-2018,,18-04-2018,F
33,,09-03-2018,14-03-2018,24-03-2018,31-03-2018,05-04-2018,,11-04-2018,,21-04-2018,M
34,28-03-2018,09-03-2018,14-03-2018,21-03-2018,25-03-2018,,,,,,
35,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,31-03-2018,,05-04-2018,,15-04-2018,M
36,,09-03-2018,14-03-2018,24-03-2018,01-04-2018,06-04-2018,,12-04-2018,,24-04-2018,F
