Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
1,,30-04-2018,05-05-2018,16-05-2018,19-05-2018,,,,,
2,,30-04-2018,05-05-2018,11-05-2018,15-05-2018,18-05-2018,,21-05-2018,27-05-2018,M
3,12-05-2018,30-04-2018,05-05-2018,11-05-2018,,,,,,
4,15-05-2018,30-04-2018,05-05-2018,13-05-2018,,,,,,
5,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,17-05-2018,,20-05-2018,27-05-2018,F
6,,30-04-2018,05-05-2018,12-05-2018,15-05-2018,,,,,
7,25-05-2018,30-04-2018,05-05-2018,,,,,,,
8,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,,19-05-2018,24-05-2018,M
9,14-05-2018,30-04-2018,05-05-2018,12-05-2018,,,,,,
10,08-05-2018,30-04-2018,05-05-2018,,,,,,,
11,12-05-2018,30-04-2018,05-05-2018,11-05-2018,,,,,,
12,,30-04-2018,05-05-2018,12-05-2018,15-05-2018,20-05-2018,,23-05-2018,28-05-2018,M
13,,30-04-2018,05-05-2018,10-05-2018,14-05-2018,18-05-2018,,21-05-2018,25-05-2018,M
14,,30-04-2018,05-05-2018,09-05-2018,12-05-2018,16-05-2018,20-05-2018,26-05-2018,27-05-2018,F
15,,30-04-2018,05-05-2018,10-05-2018,15-05-2018,18-05-2018,,20-05-2018,27-05-2018,M
16,,30-04-2018,05-05-2018,14-05-2018,15-05-2018,,,,,
17,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,,20-05-2018,24-05-2018,M
18,,30-04-2018,05-05-2018,10-05-2018,15-05-2018,19-05-2018,,22-05-2018,28-05-2018,F
19,,30-04-2018,05-05-2018,09-05-2018,12-05-2018,18-05-2018,19-05-2018,21-05-2018,28-05-2018,F
20,08-05-2018,30-04-2018,05-05-2018,,,,,,,
21,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,19-05-2018,22-05-2018,27-05-2018,F
22,,30-04-2018,05-05-2018,11-05-2018,15-05-2018,18-05-2018,24-05-2018,27-05-2018,02-06-2018,F
23,,30-04-2018,05-05-2018,13-05-2018,19-05-2018,,,22-05-2018,31-05-2018,M
24,,30-04-2018,05-05-2018,12-05-2018,17-05-2018,,,25-05-2018,01-06-2018,F
25,,30-04-2018,05-05-2018,12-05-2018,16-05-2018,20-05-2018,,22-05-2018,28-05-2018,F
26,12-05-2018,30-04-2018,05-05-2018,10-05-2018,,,,,,
27,,30-04-2018,05-05-2018,10-05-2018,15-05-2018,17-05-2018,,24-05-2018,30-05-2018,F
28,,30-04-2018,05-05-2018,10-05-2018,14-05-2018,17-05-2018,,21-05-2018,26-05-2018,F
29,,30-04-2018,05-05-2018,11-05-2018,23-05-2018,,,,,
30,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,17-05-2018,20-05-2018,23-05-2018,30-05-2018,F
31,,30-04-2018,05-05-2018,12-05-2018,15-05-2018,19-05-2018,21-05-2018,27-05-2018,12-06-2018,F
32,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,,20-05-2018,24-05-2018,M
33,28-05-2018,30-04-2018,05-05-2018,10-05-2018,13-05-2018,17-05-2018,,20-05-2018,,
34,,30-04-2018,05-05-2018,12-05-2018,15-05-2018,19-05-2018,21-05-2018,24-05-2018,31-05-2018,M
35,,30-04-2018,05-05-2018,09-05-2018,13-05-2018,15-05-2018,,19-05-2018,24-05-2018,M
36,,30-04-2018,05-05-2018,15-05-2018,,,,,,
37,,30-04-2018,05-05-2018,09-05-2018,12-05-2018,16-05-2018,,22-05-2018,28-05-2018,M
38,10-05-2018,30-04-2018,05-05-2018,,,,,,,
39,,30-04-2018,05-05-2018,12-05-2018,14-05-2018,16-05-2018,,,,
40,14-05-2018,30-04-2018,05-05-2018,,,,,,,
41,,30-04-2018,05-05-2018,10-05-2018,14-05-2018,17-05-2018,20-05-2018,22-05-2018,28-05-2018,F
42,10-05-2018,30-04-2018,05-05-2018,,,,,,,
43,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,17-05-2018,,20-05-2018,25-05-2018,M
44,,30-04-2018,05-05-2018,12-05-2018,15-05-2018,18-05-2018,,21-05-2018,27-05-2018,F
45,,30-04-2018,05-05-2018,10-05-2018,14-05-2018,17-05-2018,20-05-2018,23-05-2018,28-05-2018,F
46,,30-04-2018,05-05-2018,09-05-2018,12-05-2018,15-05-2018,,18-05-2018,24-05-2018,F
47,,30-04-2018,05-05-2018,10-05-2018,12-05-2018,14-05-2018,,20-05-2018,25-05-2018,M
48,30-05-2018,30-04-2018,05-05-2018,11-05-2018,15-05-2018,19-05-2018,,22-05-2018,,
49,,30-04-2018,05-05-2018,10-05-2018,,,,,,
50,,30-04-2018,05-05-2018,09-05-2018,11-05-2018,16-05-2018,,19-05-2018,25-05-2018,F
51,11-05-2018,30-04-2018,05-05-2018,10-05-2018,,,,,,
52,14-05-2018,30-04-2018,05-05-2018,11-05-2018,,,,,,
53,,30-04-2018,05-05-2018,11-05-2018,,,,,,
54,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,,19-05-2018,24-05-2018,M
55,14-05-2018,30-04-2018,05-05-2018,,,,,,,
56,,30-04-2018,05-05-2018,11-05-2018,15-05-2018,18-05-2018,29-05-2018,,,
57,20-05-2018,30-04-2018,05-05-2018,12-05-2018,,,,,,
58,10-05-2018,30-04-2018,05-05-2018,,,,,,,
59,09-05-2018,30-04-2018,05-05-2018,,,,,,,
60,14-05-2018,30-04-2018,05-05-2018,11-05-2018,,,,,,
61,,30-04-2018,05-05-2018,14-05-2018,23-05-2018,,,,,
62,15-05-2018,30-04-2018,05-05-2018,12-05-2018,,,,,,
63,,30-04-2018,05-05-2018,11-05-2018,15-05-2018,18-05-2018,,21-05-2018,27-05-2018,M
