Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_9_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_11_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_20_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_34_L5,Time_to_20deg_L5,L5.5,Time_in_treatment_L5.5,Days_34_L5.5,Time_to_20deg_L5.5,L5.5.2,Time_in_treatment_L5.5.2,Days_34_L5.5.2,Time_to_20deg_L5.5.2,L6,Time_in_treatment_L6,Days_32_L6,Time_to_20deg_L6,Pupa,Sex,,
1,,01-04-2018,06-04-2018,16:00,15-04-2018,09:00,21-04-2018,11:00,02-05-2018,09:00,08-05-2018,14:00,28-05-2018,09:00,31-05-2018,14:00,04-07-2018,09:00,06-07-2018,12:00,09-08-2018,09:00,,,,,14-08-2018,11:00,15-09-2018,09:00,24-09-2018,F,,
2,,01-04-2018,06-04-2018,16:00,15-04-2018,09:00,22-04-2018,11:00,03-05-2018,09:00,10-05-2018,09:00,30-05-2018,09:00,03-06-2018,12:00,07-07-2018,07:00,10-07-2018,16:00,13-08-2018,09:00,,,,,16-08-2018,10:00,17-09-2018,09:00,23-09-2018,M,,
3,,01-04-2018,06-04-2018,16:00,15-04-2018,09:00,23-04-2018,14:00,04-05-2018,09:00,22-05-2018,13:00,11-06-2018,09:00,,,,,,,,,,,,,,,,,,,,
4,30-05-2018,01-04-2018,06-04-2018,16:00,15-04-2018,09:00,23-04-2018,14:00,04-05-2018,09:00,12-05-2018,14:00,01-06-2018,,,,,,,,,,,,,,,,,,,,,
5,,01-04-2018,06-04-2018,16:00,15-04-2018,09:00,20-04-2018,12:00,01-05-2018,14:00,04-05-2018,16:00,24-05-2018,09:00,28-05-2018,13:00,01-07-2018,09:00,,,,,,,,,04-07-2018,10:00,05-08-2018,08:00,13-08-2018,M,,
6,,01-04-2018,06-04-2018,16:00,15-04-2018,09:00,21-04-2018,11:00,02-05-2018,09:00,07-05-2018,14:00,27-05-2018,09:00,30-05-2018,15:00,03-07-2018,09:00,,,,,,,,,06-07-2018,12:00,07-08-2018,09:00,15-08-2018,M,,
7,,01-04-2018,06-04-2018,16:00,15-04-2018,09:00,23-04-2018,14:00,04-05-2018,09:00,07-05-2018,14:00,27-05-2018,09:00,30-05-2018,15:00,03-07-2018,09:00,,,,,,,,,07-07-2018,12:00,08-08-2018,09:00,13-08-2018,M,,
8,,01-04-2018,06-04-2018,16:00,15-04-2018,09:00,23-04-2018,14:00,04-05-2018,09:00,08-05-2018,14:00,28-05-2018,09:00,31-05-2018,14:00,04-07-2018,09:00,,,,,,,,,08-07-2018,12:00,09-08-2018,09:00,15-08-2018,M,,
9,,01-04-2018,06-04-2018,16:00,15-04-2018,09:00,22-04-2018,11:00,03-05-2018,09:00,07-05-2018,14:00,27-05-2018,09:00,31-05-2018,14:00,04-07-2018,09:00,,,,,,,,,07-07-2018,12:00,10-08-2018,09:00,18-08-2018,F,,
10,,01-04-2018,06-04-2018,16:00,15-04-2018,09:00,23-04-2018,14:00,04-05-2018,09:00,08-05-2018,14:00,28-05-2018,09:00,01-06-2018,14:00,06-07-2018,09:00,,,,,,,,,11-07-2018,14:00,12-08-2018,08:00,19-08-2018,M,,
