Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
1,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,27-01-2018,,01-02-2018,,09-02-2018,M
2,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,29-01-2018,,02-02-2018,,10-02-2018,M
3,21-01-2018,05-01-2018,11-01-2018,19-01-2018,,,,,,,
4,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
5,07-02-2018,05-01-2018,11-01-2018,,,,,,,,
6,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,29-01-2018,,02-02-2018,,12-02-2018,F
7,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,29-01-2018,,02-02-2018,,09-02-2018,M
8,,05-01-2018,11-01-2018,18-01-2018,25-01-2018,29-01-2018,,02-02-2018,,12-02-2018,F
9,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,27-01-2018,,01-02-2018,,09-02-2018,M
10,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,27-01-2018,,01-02-2018,,11-02-2018,F
11,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,28-01-2018,01-02-2018,05-02-2018,,13-02-2018,M
12,,05-01-2018,11-01-2018,22-01-2018,24-01-2018,25-01-2018,31-01-2018,05-02-2018,,15-02-2018,F
13,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,28-01-2018,,03-02-2018,,14-02-2018,F
14,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,25-01-2018,,30-01-2018,,09-02-2018,M
15,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,29-01-2018,,02-02-2018,,10-02-2018,M
16,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
17,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,28-01-2018,,03-02-2018,,13-02-2018,F
18,,05-01-2018,11-01-2018,18-01-2018,21-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
19,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,31-01-2018,,08-02-2018,M
20,07-02-2018,05-01-2018,11-01-2018,18-01-2018,,,,,,,
21,13-01-2018,05-01-2018,11-01-2018,,,,,,,,
22,,05-01-2018,11-01-2018,17-01-2018,21-01-2018,25-01-2018,,30-01-2018,,08-02-2018,F
23,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,28-01-2018,,02-02-2018,,10-02-2018,M
24,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,27-01-2018,,01-02-2018,,10-02-2018,M
25,24-01-2018,05-01-2018,11-01-2018,18-01-2018,22-01-2018,,,,,,
26,,05-01-2018,11-01-2018,20-01-2018,24-01-2018,29-01-2018,,02-02-2018,,10-02-2018,M
27,14-01-2018,05-01-2018,11-01-2018,,,,,,,,
28,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,28-01-2018,01-02-2018,05-02-2018,,15-02-2018,F
29,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,29-01-2018,,03-02-2018,,13-02-2018,F
30,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
31,20-01-2018,05-01-2018,11-01-2018,,,,,,,,
32,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
33,,05-01-2018,11-01-2018,20-01-2018,26-01-2018,31-01-2018,,04-02-2018,11-02-2018,25-02-2018,F
34,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,06-02-2018,M
35,,05-01-2018,11-01-2018,18-01-2018,24-01-2018,31-01-2018,,,,20-02-2018,F
36,,05-01-2018,11-01-2018,22-01-2018,30-01-2018,07-02-2018,,12-02-2018,,23-02-2018,F
37,,05-01-2018,11-01-2018,22-01-2018,24-01-2018,28-01-2018,,01-02-2018,,11-02-2018,M
38,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,29-01-2018,,03-02-2018,,13-02-2018,F
39,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,,,29-01-2018,,05-02-2018,M
40,01-02-2018,05-01-2018,11-01-2018,19-01-2018,,,,,,,
41,19-01-2018,05-01-2018,11-01-2018,18-01-2018,,,,,,,
42,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,27-01-2018,,01-02-2018,,09-02-2018,M
43,22-01-2018,05-01-2018,11-01-2018,18-01-2018,,,,,,,
44,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,28-01-2018,,06-02-2018,,17-02-2018,F
45,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,25-01-2018,,30-01-2018,,08-02-2018,M
46,24-01-2018,05-01-2018,11-01-2018,19-01-2018,,,,,,,
47,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,27-01-2018,,01-02-2018,,09-02-2018,M
48,27-01-2018,05-01-2018,11-01-2018,,,,,,,,
49,,05-01-2018,11-01-2018,18-01-2018,24-01-2018,29-01-2018,,03-02-2018,,14-02-2018,F
50,,05-01-2018,11-01-2018,20-01-2018,25-01-2018,30-01-2018,,03-02-2018,,11-02-2018,M
51,22-01-2018,05-01-2018,11-01-2018,,,,,,,,
52,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,27-01-2018,,01-02-2018,,09-02-2018,M
53,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
54,,05-01-2018,11-01-2018,20-01-2018,26-01-2018,30-01-2018,,05-02-2018,,13-02-2018,M
55,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
56,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
57,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,27-01-2018,,01-02-2018,,10-02-2018,M
58,,05-01-2018,11-01-2018,22-01-2018,24-01-2018,29-01-2018,,03-02-2018,,12-02-2018,F
59,,05-01-2018,11-01-2018,22-01-2018,26-01-2018,30-01-2018,,04-02-2018,,12-02-2018,M
60,28-01-2018,05-01-2018,11-01-2018,19-01-2018,22-01-2018,,,,,,
61,12-01-2018,05-01-2018,11-01-2018,,,,,,,,
62,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,28-01-2018,,01-02-2018,,09-02-2018,M
63,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,28-01-2018,,02-02-2018,,12-02-2018,F
64,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,29-01-2018,,03-02-2018,,13-02-2018,F
65,,05-01-2018,11-01-2018,18-01-2018,20-01-2018,23-01-2018,26-01-2018,30-01-2018,,09-02-2018,F
66,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,27-01-2018,,01-02-2018,,11-02-2018,F
67,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,08-02-2018,M
68,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
69,02-02-2018,05-01-2018,11-01-2018,19-01-2018,24-01-2018,26-01-2018,,,,,
70,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
71,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,28-01-2018,,01-02-2018,,09-02-2018,M
72,,05-01-2018,11-01-2018,21-01-2018,25-01-2018,30-01-2018,,03-02-2018,,12-02-2018,F
73,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,28-01-2018,,04-02-2018,,15-02-2018,F
74,,05-01-2018,11-01-2018,17-01-2018,21-01-2018,25-01-2018,,30-01-2018,,06-02-2018,M
75,22-01-2018,05-01-2018,11-01-2018,,,,,,,,
76,22-01-2018,05-01-2018,11-01-2018,18-01-2018,,,,,,,
77,,05-01-2018,11-01-2018,17-01-2018,21-01-2018,25-01-2018,,30-01-2018,,05-02-2018,M
78,,05-01-2018,11-01-2018,18-01-2018,24-01-2018,27-01-2018,,01-02-2018,,11-02-2018,F
79,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,27-01-2018,,31-01-2018,,10-02-2018,F
80,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,27-01-2018,,02-02-2018,,13-02-2018,F
81,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,27-01-2018,,31-01-2018,,07-02-2018,M
82,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,27-01-2018,,01-02-2018,,08-02-2018,M
83,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,28-01-2018,,02-02-2018,,13-02-2018,F
84,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
85,,05-01-2018,11-01-2018,20-01-2018,24-01-2018,29-01-2018,,02-02-2018,,12-02-2018,F
86,22-01-2018,05-01-2018,11-01-2018,,,,,,,,
87,,05-01-2018,11-01-2018,22-01-2018,24-01-2018,29-01-2018,,03-02-2018,,13-02-2018,F
88,,05-01-2018,11-01-2018,19-01-2018,25-01-2018,30-01-2018,,05-02-2018,,16-02-2018,M
89,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
90,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,27-01-2018,,31-01-2018,,09-02-2018,F
91,24-01-2018,05-01-2018,11-01-2018,18-01-2018,22-01-2018,,,,,,
92,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
93,,05-01-2018,11-01-2018,17-01-2018,21-01-2018,25-01-2018,,30-01-2018,,09-02-2018,M
94,30-01-2018,05-01-2018,11-01-2018,19-01-2018,,,,,,,
95,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,08-02-2018,M
96,23-01-2018,05-01-2018,11-01-2018,19-01-2018,,,,,,,
97,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,27-01-2018,,01-02-2018,,11-02-2018,F
98,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,06-02-2018,M
99,07-02-2018,05-01-2018,11-01-2018,17-01-2018,21-01-2018,,,,,,
100,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,27-01-2018,,01-02-2018,,11-02-2018,F
101,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,28-01-2018,,01-02-2018,,09-02-2018,F
102,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
103,13-01-2018,05-01-2018,11-01-2018,,,,,,,,
