Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,L6,Time_in_treatment_L6,Days_5_L6,Time_to_20deg_L6,Pupa,Sex
1,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,14-12-2017,10:55,15-12-2017,10:30,18-12-2017,10:53,20-12-2017,12:00,24-12-2017,14:00,29-12-2017,09:00,05-01-2018,M
2,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,,,,,24-12-2017,14:00,29-12-2017,09:00,03-01-2018,F
3,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
4,11-01-2018,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,12-12-2017,10:22,13-12-2017,09:20,15-12-2017,10:30,17-12-2017,10:23,18-12-2017,12:11,23-12-2017,10:00,,
5,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,21-12-2017,10:30,26-12-2017,10:00,01-01-2018,F
6,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,16-12-2017,10:30,18-12-2017,10:30,23-12-2017,13:00,28-12-2017,09:00,07-01-2018,F
7,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
8,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,10-12-2017,10:31,11-12-2017,10:24,15-12-2017,10:30,16-12-2017,10:30,19-12-2017,10:12,21-12-2017,09:30,21-12-2017,10:30,26-12-2017,10:00,13-01-2018,F
9,07-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
10,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,25-12-2017,16:00,30-12-2017,10:00,11-01-2018,F
