Cup #,Dead,Crisper setup,L2,L3,L4,L5,L6,Pupa,Sex
1,27-04-2018,20-03-2018,25-03-2018,10-04-2018,,,,,
2,,20-03-2018,25-03-2018,05-04-2018,12-04-2018,18-04-2018,25-04-2018,06-05-2018,M
3,07-05-2018,20-03-2018,25-03-2018,07-04-2018,,,,,
4,13-04-2018,20-03-2018,25-03-2018,,,,,,
5,07-05-2018,20-03-2018,25-03-2018,05-04-2018,,,,,
6,,20-03-2018,25-03-2018,07-04-2018,26-04-2018,,,,
7,30-04-2018,20-03-2018,25-03-2018,10-04-2018,,,,,
8,28-03-2018,20-03-2018,25-03-2018,,,,,,
9,28-03-2018,20-03-2018,25-03-2018,,,,,,
10,08-06-2018,20-03-2018,25-03-2018,09-04-2018,02-05-2018,,,,
11,07-05-2018,20-03-2018,25-03-2018,11-04-2018,,,,,
12,10-04-2018,20-03-2018,25-03-2018,,,,,,
13,,20-03-2018,25-03-2018,09-04-2018,18-04-2018,25-04-2018,30-04-2018,19-05-2018,F
14,,20-03-2018,25-03-2018,15-04-2018,,,,,
15,22-04-2018,20-03-2018,25-03-2018,,,,,,
16,28-03-3018,20-03-2018,25-03-2018,,,,,,
17,07-05-2018,20-03-2018,25-03-2018,06-04-2018,25-04-2018,,,,
18,11-05-2018,20-03-2018,25-03-2018,10-04-2018,,,,,
19,28-03-2018,20-03-2018,25-03-2018,,,,,,
20,28-03-2018,20-03-2018,25-03-2018,,,,,,
21,28-03-2018,20-03-2018,25-03-2018,,,,,,
22,11-05-2018,20-03-2018,25-03-2018,18-04-2018,,,,,
23,28-03-2018,20-03-2018,25-03-2018,,,,,,
24,,20-03-2018,25-03-2018,05-04-2018,28-04-2018,,,,
25,01-04-2018,20-03-2018,25-03-2018,,,,,,
26,,20-03-2018,25-03-2018,08-04-2018,15-04-2018,21-04-2018,28-04-2018,10-05-2018,M
27,11-05-2018,20-03-2018,25-03-2018,11-04-2018,,,,,
