Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
1,,05-02-2018,10-02-2018,19-02-2018,25-02-2018,01-03-2018,,07-03-2018,,16-03-2018,M
2,,05-02-2018,10-02-2018,17-02-2018,24-02-2018,28-02-2018,,05-03-2018,,16-03-2018,F
3,,05-02-2018,10-02-2018,21-02-2018,25-02-2018,02-03-2018,,07-03-2018,,16-03-2018,M
4,,05-02-2018,10-02-2018,17-02-2018,21-02-2018,25-02-2018,01-03-2018,06-03-2018,,14-03-2018,F
5,,05-02-2018,10-02-2018,18-02-2018,24-02-2018,28-02-2018,,05-03-2018,,15-03-2018,F
6,16-02-2018,05-02-2018,10-02-2018,,,,,,,,
7,16-03-2018,05-02-2018,10-02-2018,18-02-2018,24-02-2018,28-02-2018,04-03-2018,,,,
8,,05-02-2018,10-02-2018,16-02-2018,21-02-2018,26-02-2018,,02-03-2018,,12-03-2018,F
9,,05-02-2018,10-02-2018,19-02-2018,24-02-2018,01-03-2018,,06-03-2018,,16-03-2018,F
10,,05-02-2018,10-02-2018,18-02-2018,23-02-2018,28-02-2018,,06-03-2018,,16-03-2018,F
11,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,28-02-2018,,02-03-2018,,17-03-2018,F
12,28-02-2018,05-02-2018,10-02-2018,21-02-2018,24-02-2018,,,,,,
13,,05-02-2018,10-02-2018,16-02-2018,25-02-2018,02-03-2018,,08-03-2018,,16-03-2018,M
14,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,26-02-2018,,03-03-2018,,11-03-2018,M
15,,05-02-2018,10-02-2018,16-02-2018,20-02-2018,25-02-2018,,01-03-2018,,09-03-2018,M
16,17-02-2018,05-02-2018,10-02-2018,,,,,,,,
17,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,08-03-2018,,18-03-2018,F
18,,05-02-2018,10-02-2018,18-02-2018,25-02-2018,01-03-2018,,06-03-2018,,14-03-2018,M
19,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,27-02-2018,,03-03-2018,,11-03-2018,M
20,09-03-2018,05-02-2018,10-02-2018,17-02-2018,22-02-2018,26-02-2018,,,,,
21,,05-02-2018,10-02-2018,19-02-2018,27-02-2018,04-03-2018,,09-03-2018,,20-03-2018,F
22,,05-02-2018,10-02-2018,17-02-2018,24-02-2018,01-03-2018,06-03-2018,11-03-2018,,22-03-2018,F
23,,05-02-2018,10-02-2018,22-02-2018,27-02-2018,03-03-2018,,08-03-2018,,21-03-2018,F
24,14-02-2018,05-02-2018,10-02-2018,,,,,,,,
25,19-02-2018,05-02-2018,10-02-2018,,,,,,,,
26,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,05-03-2018,,16-03-2018,F
27,,05-02-2018,10-02-2018,19-02-2018,24-02-2018,01-03-2018,05-03-2018,09-03-2018,,20-03-2018,F
28,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,27-02-2018,,04-03-2018,,13-03-2018,M
29,,05-02-2018,10-02-2018,16-02-2018,19-02-2018,25-02-2018,,03-03-2018,,10-03-2018,M
30,,05-02-2018,10-02-2018,19-02-2018,25-02-2018,01-03-2018,06-03-2018,11-03-2018,,22-03-2018,F
31,,05-02-2018,10-02-2018,23-02-2018,01-03-2018,04-03-2018,,09-03-2018,,18-03-2018,M
32,,05-02-2018,10-02-2018,19-02-2018,01-03-2018,07-03-2018,,11-03-2018,,20-03-2018,M
33,19-02-2018,05-02-2018,10-02-2018,18-02-2018,,,,,,,
34,,05-02-2018,10-02-2018,18-02-2018,25-02-2018,01-03-2018,,06-03-2018,,15-03-2018,M
35,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,26-02-2018,,02-03-2018,,10-03-2018,M
36,22-02-2018,05-02-2018,10-02-2018,,,,,,,,
37,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,24-02-2018,,04-03-2018,,15-03-2018,F
38,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,27-02-2018,,04-03-2018,,11-03-2018,M
39,,05-02-2018,10-02-2018,16-02-2018,22-02-2018,27-02-2018,,04-03-2018,,13-03-2018,M
40,,05-02-2018,10-02-2018,18-02-2018,24-02-2018,28-02-2018,,06-03-2018,,15-03-2018,M
41,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,27-02-2018,,05-03-2018,,13-03-2018,M
42,,05-02-2018,10-02-2018,16-02-2018,21-02-2018,26-02-2018,,03-03-2018,,12-03-2018,F
43,,05-02-2018,10-02-2018,16-02-2018,21-02-2018,26-02-2018,,03-03-2018,,14-03-2018,F
44,,05-02-2018,10-02-2018,17-02-2018,24-02-2018,28-02-2018,,06-03-2018,,16-03-2018,F
45,14-02-2018,05-02-2018,10-02-2018,,,,,,,,
46,,05-02-2018,10-02-2018,18-02-2018,24-02-2018,01-03-2018,,06-03-2018,,17-03-2018,F
47,,05-02-2018,10-02-2018,17-02-2018,24-02-2018,25-02-2018,,07-03-2018,,19-03-2018,F
48,,05-02-2018,10-02-2018,16-02-2018,22-02-2018,26-02-2018,03-03-2018,08-03-2018,,19-03-2018,F
49,,05-02-2018,10-02-2018,16-02-2018,22-02-2018,26-02-2018,03-03-2018,07-03-2018,,17-03-2018,F
50,,05-02-2018,10-02-2018,19-02-2018,25-02-2018,01-03-2018,,06-03-2018,,14-03-2018,M
51,,05-02-2018,10-02-2018,25-02-2018,12-03-2018,19-03-2018,23-03-2018,02-04-2018,,14-04-2018,M
52,21-02-2018,05-02-2018,10-02-2018,,,,,,,,
53,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,28-02-2018,,02-03-2018,,16-03-2018,F
54,,05-02-2018,10-02-2018,18-02-2018,23-02-2018,28-02-2018,,05-03-2018,,15-03-2018,F
55,21-02-2018,05-02-2018,10-02-2018,18-02-2018,,,,,,,
56,04-03-2018,05-02-2018,10-02-2018,20-02-2018,24-02-2018,,,,,,
57,,05-02-2018,10-02-2018,18-02-2018,24-02-2018,28-02-2018,,05-03-2018,,13-03-2018,M
58,16-02-2018,05-02-2018,10-02-2018,,,,,,,,
59,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,27-02-2018,03-03-2018,07-03-2018,,18-03-2018,F
60,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,27-02-2018,,04-03-2018,,14-03-2018,F
61,,05-02-2018,10-02-2018,21-02-2018,25-02-2018,03-03-2018,,11-03-2018,,19-03-2018,M
62,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,27-02-2018,,04-03-2018,,15-03-2018,F
63,,05-02-2018,10-02-2018,18-02-2018,23-02-2018,27-02-2018,,03-03-2018,,11-03-2018,M
64,,05-02-2018,10-02-2018,18-02-2018,24-02-2018,28-02-2018,,02-03-2018,,12-03-2018,M
65,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,27-02-2018,03-03-2018,07-03-2018,,18-03-2018,F
66,,05-02-2018,10-02-2018,18-02-2018,23-02-2018,28-02-2018,,05-03-2018,,16-03-2018,F
67,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,26-02-2018,,03-03-2018,,12-03-2018,F
68,,05-02-2018,10-02-2018,18-02-2018,24-02-2018,28-02-2018,04-03-2018,09-03-2018,,19-03-2018,F
69,,05-02-2018,10-02-2018,18-02-2018,23-02-2018,27-02-2018,,04-03-2018,,12-03-2018,M
70,25-02-2018,05-02-2018,10-02-2018,19-02-2018,,,,,,,
71,20-02-2018,05-02-2018,10-02-2018,17-02-2018,,,,,,,
72,,05-02-2018,10-02-2018,17-02-2018,25-02-2018,28-02-2018,04-03-2018,09-03-2018,,20-03-2018,F
73,14-02-2018,05-02-2018,10-02-2018,,,,,,,,
74,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,05-03-2018,,15-03-2018,F
75,01-03-2018,05-02-2018,10-02-2018,19-02-2018,24-02-2018,28-02-2018,,,,,
76,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,05-03-2018,,14-03-2018,M
77,,05-02-2018,10-02-2018,15-02-2018,20-02-2018,25-02-2018,,01-03-2018,,11-03-2018,F
78,,05-02-2018,10-02-2018,16-02-2018,21-02-2018,26-02-2018,,04-03-2018,,12-03-2018,M
79,,05-02-2018,10-02-2018,18-02-2018,23-02-2018,28-02-2018,,06-03-2018,,15-03-2018,M
80,,05-02-2018,10-02-2018,16-02-2018,24-02-2018,28-02-2018,11-03-2018,16-03-2018,24-03-2018,04-04-2018,F
81,,05-02-2018,10-02-2018,16-02-2018,21-02-2018,25-02-2018,,03-03-2018,,10-03-2018,M
82,,05-02-2018,10-02-2018,18-02-2018,24-02-2018,01-03-2018,,07-03-2018,,19-03-2018,F
83,21-02-2018,05-02-2018,10-02-2018,,,,,,,,
84,,05-02-2018,10-02-2018,17-02-2018,21-02-2018,26-02-2018,,03-03-2018,,12-03-2018,M
85,,05-02-2018,10-02-2018,20-02-2018,23-02-2018,28-02-2018,,05-03-2018,,15-03-2018,F
86,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,27-02-2018,,04-03-2018,,15-03-2018,F
87,21-02-2018,05-02-2018,10-02-2018,17-02-2018,,,,,,,
88,,05-02-2018,10-02-2018,16-02-2018,19-02-2018,25-02-2018,,01-03-2018,,09-03-2018,M
89,17-02-2018,05-02-2018,10-02-2018,,,,,,,,
90,,05-02-2018,10-02-2018,18-02-2018,23-02-2018,28-02-2018,,05-03-2018,,17-03-2018,F
91,,05-02-2018,10-02-2018,15-02-2018,20-02-2018,25-02-2018,,03-03-2018,,10-03-2018,M
92,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,26-02-2018,,03-03-2018,,13-03-2018,F
93,16-02-2018,05-02-2018,10-02-2018,,,,,,,,
94,,05-02-2018,10-02-2018,20-02-2018,25-02-2018,01-03-2018,,06-03-2018,,16-03-2018,M
95,19-02-2018,05-02-2018,10-02-2018,,,,,,,,
96,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,27-02-2018,,04-03-2018,,14-03-2018,F
97,,05-02-2018,10-02-2018,19-02-2018,24-02-2018,28-02-2018,04-03-2018,09-03-2018,,19-03-2018,F
98,,05-02-2018,10-02-2018,16-02-2018,21-02-2018,25-02-2018,,02-03-2018,,10-03-2018,M
99,16-03-2018,05-02-2018,10-02-2018,17-02-2018,22-02-2018,27-02-2018,,,,,
100,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,27-02-2018,,04-03-2018,,14-03-2018,F
101,,05-02-2018,10-02-2018,17-02-2018,21-02-2018,26-02-2018,,03-03-2018,,11-03-2018,M
102,,05-02-2018,10-02-2018,18-02-2018,23-02-2018,28-02-2018,,06-03-2018,,14-03-2018,M
103,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,05-03-2018,,13-03-2018,M
104,,05-02-2018,10-02-2018,20-02-2018,27-02-2018,02-03-2018,06-03-2018,11-03-2018,,23-03-2018,F
105,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,09-03-2018,,17-03-2018,F
106,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,05-03-2018,,13-03-2018,M
107,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,26-02-2018,,03-03-2018,,13-03-2018,F
108,,05-02-2018,10-02-2018,18-02-2018,23-02-2018,27-02-2018,,05-03-2018,,14-03-2018,F
109,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,27-02-2018,,04-03-2018,,16-03-2018,F
110,,05-02-2018,10-02-2018,16-02-2018,21-02-2018,27-02-2018,03-03-2018,07-03-2018,,17-03-2018,F
111,,05-02-2018,10-02-2018,18-02-2018,24-02-2018,01-03-2018,,07-03-2018,,15-03-2018,M
112,14-02-2018,05-02-2018,10-02-2018,,,,,,,,
113,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,26-02-2018,,03-03-2018,,12-03-2018,M
114,,05-02-2018,10-02-2018,23-02-2018,04-03-2018,12-03-2018,,17-03-2018,,25-03-2018,M
115,,05-02-2018,10-02-2018,16-02-2018,21-02-2018,26-02-2018,,03-03-2018,,13-03-2018,F
116,22-02-2018,05-02-2018,10-02-2018,,,,,,,,
117,22-02-2018,05-02-2018,10-02-2018,17-02-2018,,,,,,,
118,,05-02-2018,10-02-2018,16-02-2018,23-02-2018,28-02-2018,,,,14-03-2018,M
119,,05-02-2018,10-02-2018,16-02-2018,19-02-2018,25-02-2018,,01-03-2018,,09-03-2018,M
120,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,26-02-2018,,03-03-2018,,11-03-2018,M
121,26-02-2018,05-02-2018,10-02-2018,18-02-2018,22-02-2018,,,,,,
122,,05-02-2018,10-02-2018,21-02-2018,27-02-2018,02-03-2018,04-03-2018,09-03-2018,,23-03-2018,F
123,20-02-2018,05-02-2018,10-02-2018,18-02-2018,,,,,,,
124,14-02-2018,05-02-2018,10-02-2018,,,,,,,,
125,20-02-2018,05-02-2018,10-02-2018,,,,,,,,
