Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
1,21-02-2018,28-01-2018,01-02-2018,06-02-2018,09-02-2018,13-02-2018,,15-02-2018,,
2,,28-01-2018,01-02-2018,05-02-2018,07-02-2018,09-02-2018,,12-02-2018,17-02-2018,M
3,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,10-02-2018,,16-02-2018,23-02-2018,M
4,06-02-2018,28-01-2018,01-02-2018,,,,,,,
5,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,11-02-2018,,16-02-2018,21-02-2018,F
6,,28-01-2018,01-02-2018,10-02-2018,12-02-2018,15-02-2018,,18-02-2018,24-02-2018,M
7,07-03-2018,28-01-2018,01-02-2018,07-02-2018,12-02-2018,15-02-2018,,18-02-2018,,
8,03-02-2018,28-01-2018,01-02-2018,,,,,,,
9,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,F
10,03-02-2018,28-01-2018,01-02-2018,,,,,,,
11,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,16-02-2018,22-02-2018,F
12,14-02-2018,28-01-2018,01-02-2018,06-02-2018,09-02-2018,11-02-2018,,,,
13,05-02-2018,28-01-2018,01-02-2018,,,,,,,
14,21-02-2018,28-01-2018,01-02-2018,06-02-2018,08-02-2018,11-02-2018,,,,
15,,28-01-2018,01-02-2018,05-02-2018,09-02-2018,12-02-2018,,14-02-2018,19-02-2018,M
16,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,16-02-2018,21-02-2018,F
17,,28-01-2018,01-02-2018,06-02-2018,11-02-2018,14-02-2018,,17-02-2018,22-02-2018,M
18,,28-01-2018,01-02-2018,05-02-2018,07-02-2018,10-02-2018,,13-02-2018,19-02-2018,F
19,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,10-02-2018,,13-02-2018,17-02-2018,M
20,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,14-02-2018,20-02-2018,M
21,,28-01-2018,01-02-2018,06-02-2018,11-02-2018,14-02-2018,,21-02-2018,28-02-2018,M
22,02-02-2018,28-01-2018,01-02-2018,,,,,,,
23,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,10-02-2018,,13-02-2018,19-02-2018,M
24,12-02-2018,28-01-2018,01-02-2018,06-02-2018,09-02-2018,,,,,
25,,28-01-2018,01-02-2018,05-02-2018,09-02-2018,11-02-2018,,14-02-2018,20-02-2018,F
26,,28-01-2018,01-02-2018,04-02-2018,07-02-2018,09-02-2018,,12-02-2018,16-02-2018,M
27,11-02-2018,28-01-2018,01-02-2018,06-02-2018,,,,,,
28,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,10-02-2018,,13-02-2018,17-02-2018,M
29,15-02-2018,28-01-2018,01-02-2018,07-02-2018,12-02-2018,,,,,
30,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,11-02-2018,,14-02-2018,19-02-2018,M
31,10-02-2018,28-01-2018,01-02-2018,07-02-2018,,,,,,
32,,28-01-2018,01-02-2018,07-02-2018,16-02-2018,,,,,
33,11-02-2018,28-01-2018,01-02-2018,05-02-2018,,,,,,
34,18-02-2018,28-01-2018,01-02-2018,07-02-2018,12-02-2018,15-02-2018,,,,
35,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,16-02-2018,20-02-2018,M
36,10-02-2018,28-01-2018,01-02-2018,05-02-2018,08-02-2018,,,,,
37,,28-01-2018,01-02-2018,05-02-2018,07-02-2018,10-02-2018,,14-02-2018,21-02-2018,F
38,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,12-02-2018,,15-02-2018,19-02-2018,M
39,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,M
40,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,13-02-2018,,16-02-2018,21-02-2018,M
41,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,M
42,21-02-2018,28-01-2018,01-02-2018,05-02-2018,09-02-2018,12-02-2018,,15-02-2018,,
43,07-02-2018,28-01-2018,01-02-2018,,,,,,,
44,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,F
45,,28-01-2018,01-02-2018,06-02-2018,10-02-2018,13-02-2018,,17-02-2018,21-02-2018,M
46,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,M
47,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,11-02-2018,,14-02-2018,21-02-2018,M
48,11-02-2018,28-01-2018,01-02-2018,05-02-2018,,,,,,
49,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,10-02-2018,,14-02-2018,20-02-2018,F
50,,28-01-2018,01-02-2018,07-02-2018,09-02-2018,12-02-2018,,15-02-2018,20-02-2018,M
51,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,11-02-2018,,13-02-2018,19-02-2018,F
52,,28-01-2018,01-02-2018,04-02-2018,,11-02-2018,,14-02-2018,19-02-2018,M
53,,28-01-2018,01-02-2018,09-02-2018,11-02-2018,14-02-2018,,21-02-2018,28-02-2018,M
54,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,11-02-2018,,14-02-2018,20-02-2018,F
55,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,M
56,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,13-02-2018,,16-02-2018,20-02-2018,M
57,,28-01-2018,01-02-2018,07-02-2018,09-02-2018,12-02-2018,,15-02-2018,23-02-2018,M
58,03-03-2018,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,15-02-2018,,
59,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,F
60,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,15-02-2018,20-02-2018,M
61,05-02-2018,28-01-2018,01-02-2018,,,,,,,
62,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,21-02-2018,F
63,,28-01-2018,01-02-2018,05-02-2018,07-02-2018,10-02-2018,,12-02-2018,17-02-2018,M
64,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,16-02-2018,22-02-2018,F
65,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,M
66,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,,,15-02-2018,20-02-2018,M
67,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,15-02-2018,20-02-2018,M
68,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,11-02-2018,,15-02-2018,19-02-2018,M
69,,28-01-2018,01-02-2018,05-02-2018,09-02-2018,11-02-2018,,15-02-2018,19-02-2018,M
70,12-02-2018,28-01-2018,01-02-2018,06-02-2018,10-02-2018,,,,,
71,07-03-2018,28-01-2018,01-02-2018,07-02-2018,11-02-2018,,,17-02-2018,,
72,06-02-2018,28-01-2018,01-02-2018,,,,,,,
73,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,F
74,,28-01-2018,01-02-2018,07-02-2018,11-02-2018,14-02-2018,17-02-2018,21-02-2018,28-02-2018,F
75,,28-01-2018,01-02-2018,05-02-2018,09-02-2018,11-02-2018,,14-02-2018,20-02-2018,F
76,,28-01-2018,01-02-2018,05-02-2018,10-02-2018,15-02-2018,,19-02-2018,23-02-2018,M
77,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,14-02-2018,,15-02-2018,22-02-2018,F
78,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,10-02-2018,,14-02-2018,17-02-2018,M
79,23-02-2018,28-01-2018,01-02-2018,07-02-2018,12-02-2018,15-02-2018,,18-02-2018,,
80,,28-01-2018,01-02-2018,07-02-2018,10-02-2018,14-02-2018,,17-02-2018,23-02-2018,F
81,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,12-02-2018,,14-02-2018,21-02-2018,F
82,,28-01-2018,01-02-2018,04-02-2018,07-02-2018,10-02-2018,,13-02-2018,19-02-2018,F
