Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,L5.5,Time_in_treatment_L5.5,Days_2_L5.5,Time_to_20deg_L5.5,L6,Time_in_treatment_L6,Days_5_L6,Time_to_20deg_L6,Pupa,Sex
1,,29-12-2017,03-01-2018,12:00,04-01-2018,13:00,09-01-2018,11:00,10-01-2018,11:00,14-01-2018,11:00,15-01-2018,10:00,17-01-2018,13:00,19-01-2018,09:00,,,,,22-01-2018,10:00,27-01-2018,09:00,03-02-2018,F
2,,29-12-2017,03-01-2018,12:00,04-01-2018,13:00,08-01-2018,11:00,09-01-2018,11:00,12-01-2018,11:00,13-01-2018,09:00,15-01-2018,11:00,17-01-2018,11:00,,,,,19-01-2018,11:00,24-01-2018,08:00,28-01-2018,M
3,,29-12-2017,03-01-2018,12:00,04-01-2018,13:00,08-01-2018,11:00,09-01-2018,11:00,13-01-2018,11:00,14-01-2018,09:00,16-01-2018,11:00,18-01-2018,09:00,,,,,21-01-2018,10:00,26-01-2018,09:00,29-01-2018,M
4,,29-12-2017,03-01-2018,12:00,04-01-2018,13:00,08-01-2018,11:00,09-01-2018,11:00,13-01-2018,11:00,14-01-2018,09:00,18-01-2018,10:00,20-01-2018,09:00,,,,,23-01-2018,11:00,28-01-2018,11:00,09-02-2018,F
5,,29-12-2017,03-01-2018,12:00,04-01-2018,13:00,08-01-2018,11:00,09-01-2018,11:00,13-01-2018,11:00,14-01-2018,09:00,17-01-2018,13:00,19-01-2018,09:00,,,,,22-01-2018,10:00,27-01-2018,09:00,03-02-2018,F
6,,29-12-2017,03-01-2018,12:00,04-01-2018,13:00,09-01-2018,11:00,10-01-2018,11:00,13-01-2018,11:00,14-01-2018,09:00,16-01-2018,11:00,18-01-2018,09:00,,,,,21-01-2018,10:00,26-01-2018,09:00,06-02-2018,M
7,,29-12-2017,03-01-2018,12:00,04-01-2018,13:00,08-01-2018,11:00,09-01-2018,11:00,12-01-2018,11:00,13-01-2018,09:00,15-01-2018,11:00,17-01-2018,11:00,,,,,20-01-2018,10:00,25-01-2018,09:00,28-01-2018,M
8,,29-12-2017,03-01-2018,12:00,04-01-2018,13:00,09-01-2018,11:00,10-01-2018,11:00,14-01-2018,11:00,15-01-2018,10:00,18-01-2018,10:00,20-01-2018,09:00,,,,,23-01-2018,11:00,28-01-2018,11:00,04-02-2018,F
9,,29-12-2017,03-01-2018,12:00,04-01-2018,13:00,08-01-2018,11:00,09-01-2018,11:00,12-01-2018,11:00,13-01-2018,09:00,16-01-2018,11:00,18-01-2018,09:00,,,,,22-01-2018,10:00,27-01-2018,09:00,02-02-2018,F
10,,29-12-2017,03-01-2018,12:00,04-01-2018,13:00,10-01-2018,11:00,11-01-2018,10:00,15-01-2018,11:00,16-01-2018,09:00,21-01-2018,10:00,23-01-2018,09:00,,,,,26-01-2018,10:00,31-01-2018,09:00,03-02-2018,M
11,,29-12-2017,03-01-2018,12:00,04-01-2018,13:00,09-01-2018,11:00,10-01-2018,11:00,14-01-2018,11:00,15-01-2018,10:00,20-01-2018,10:00,22-01-2018,09:00,,,,,26-01-2018,10:00,31-01-2018,09:00,14-02-2018,F
12,,29-12-2017,03-01-2018,12:00,04-01-2018,13:00,09-01-2018,11:00,10-01-2018,11:00,14-01-2018,11:00,15-01-2018,10:00,17-01-2018,13:00,19-01-2018,09:00,,,,,23-01-2018,11:00,28-01-2018,11:00,05-02-2018,F
13,,29-12-2017,03-01-2018,12:00,04-01-2018,13:00,10-01-2018,11:00,11-01-2018,10:00,15-01-2018,11:00,16-01-2018,09:00,18-01-2018,10:00,20-01-2018,09:00,,,,,23-01-2018,11:00,28-01-2018,11:00,02-02-2018,M
14,,29-12-2017,03-01-2018,12:00,04-01-2018,13:00,08-01-2018,11:00,09-01-2018,11:00,14-01-2018,11:00,15-01-2018,10:00,18-01-2018,10:00,20-01-2018,09:00,,,,,23-01-2018,11:00,28-01-2018,11:00,10-02-2018,F
