Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_9_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_11_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_20_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_34_L5,Time_to_20deg_L5,L5.5,Time_in_treatment_L5.5,Days_34_L5.5,Time_to_20deg_L5.5,L6,Time_in_treatment_L6,Days_32_L6,Time_to_20deg_L6,L6.5,Time_in_treatment_L6.5,Days_32_L6.5,Time_to_20deg_L6.5,Pupa,Sex
1,,17-02-2018,21-02-2018,15:00,02-03-2018,12:00,09-03-2018,13:00,20-03-2018,09:00,26-03-2018,12:00,15-04-2018,09:00,19-04-2018,11:00,23-05-2018,09:00,,,,,27-05-2018,14:00,28-06-2018,09:00,,,,,08-07-2018,F
2,27-06-2018,17-02-2018,21-02-2018,15:00,02-03-2018,12:00,09-03-2018,13:00,20-03-2018,09:00,25-03-2018,15:00,14-04-2018,09:00,18-04-2018,14:00,22-05-2018,09:00,,,,,27-05-2018,14:00,28-06-2018,09:00,,,,,,
3,03-04-2018,17-02-2018,21-02-2018,15:00,02-03-2018,12:00,11-03-2018,12:00,22-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,
4,,17-02-2018,21-02-2018,15:00,02-03-2018,12:00,08-03-2018,11:00,19-03-2018,10:00,23-03-2018,15:00,12-04-2018,10:00,16-04-2018,13:00,20-05-2018,09:00,,,,,23-05-2018,12:00,24-06-2018,09:00,,,,,03-07-2018,F
5,,17-02-2018,21-02-2018,15:00,02-03-2018,12:00,07-03-2018,18:00,19-03-2018,10:00,24-03-2018,12:00,13-04-2018,10:00,16-04-2018,13:00,20-05-2018,09:00,,,,,24-05-2018,14:00,25-06-2018,09:00,,,,,07-07-2018,F
6,,17-02-2018,21-02-2018,15:00,02-03-2018,12:00,09-03-2018,13:00,20-03-2018,09:00,23-03-2018,15:00,12-04-2018,10:00,15-04-2018,11:00,19-05-2018,09:00,,,,,23-05-2018,12:00,24-06-2018,09:00,,,,,03-07-2018,F
7,,17-02-2018,21-02-2018,15:00,02-03-2018,12:00,08-03-2018,11:00,19-03-2018,10:00,23-03-2018,15:00,12-04-2018,10:00,15-04-2018,11:00,19-05-2018,09:00,,,,,24-05-2018,14:00,27-06-2018,09:00,,,,,04-07-2018,M
8,14-06-2018,17-02-2018,21-02-2018,15:00,02-03-2018,12:00,08-03-2018,11:00,19-03-2018,10:00,24-03-2018,12:00,13-04-2018,10:00,16-04-2018,13:00,20-05-2018,09:00,,,,,26-05-2018,11:00,27-06-2018,09:00,,,,,,
9,04-04-2018,17-02-2018,21-02-2018,15:00,02-03-2018,12:00,07-03-2018,18:00,19-03-2018,10:00,24-03-2018,12:00,13-04-2018,10:00,,,,,,,,,,,,,,,,,,
10,,17-02-2018,21-02-2018,15:00,02-03-2018,12:00,07-03-2018,18:00,19-03-2018,10:00,23-03-2018,15:00,12-04-2018,10:00,16-04-2018,13:00,20-05-2018,09:00,,,,,24-05-2018,14:00,25-06-2018,09:00,,,,,11-07-2018,F
